last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Ortiz, David,120074,2016,41,537,626,169,82,48,1,38,86,80,13.7,12.8,.315,.620,.401,1.021,127,2,151,2,79,2,0,,.304,.621,.420,.419,.395,.317,93.2,16.9,39.3,15.5,33.8,28.4,29,8.7,23.5,
Beltre, Adrian,134181,2016,37,583,640,175,111,31,1,32,66,48,10.3,7.5,.300,.521,.358,.879,104,1,153,6,89,1,0,,.288,.505,.371,.364,.348,.218,90.1,14.5,34.2,8.5,41.2,24,25.2,9.6,25.9,
Beltran, Carlos,136860,2016,39,552,593,163,101,33,0,29,101,35,17.0,5.9,.295,.513,.337,.850,93,1,151,2,73,1,0,,.266,.429,.358,.317,.312,.163,90.1,12.6,32.5,6.8,42.4,22.2,26.6,8.8,25.7,
Werth, Jayson,150029,2016,37,525,606,128,79,28,0,21,139,71,22.9,11.7,.244,.417,.335,.752,69,5,143,4,84,2,3,,.241,.407,.327,.328,.336,.165,91.4,15,31.9,7.4,41.3,26.5,25.3,6.9,25.7,
Martinez, Victor,400121,2016,38,553,610,160,111,22,0,27,90,50,14.8,8.2,.289,.476,.351,.826,86,0,154,4,65,0,0,,.283,.502,.351,.361,.347,.220,90,15.5,37.3,8.4,38.8,27,26.4,7.7,22.5,
Utley, Chase,400284,2016,38,512,565,129,86,26,3,14,115,40,20.4,7.1,.252,.396,.319,.715,52,2,138,11,79,2,0,,.255,.383,.312,.310,.322,.128,87.7,11.9,35.6,4.3,45.4,21.3,27.1,6.3,27.4,
Pujols, Albert,405395,2016,36,593,650,159,109,19,0,31,75,49,11.5,7.5,.268,.457,.323,.780,119,4,152,2,71,4,0,,.279,.510,.331,.359,.336,.232,91.6,11.7,31.5,9.2,45.2,26,22.5,6.3,22.6,
Mauer, Joe,408045,2016,33,494,576,129,92,22,4,11,93,79,16.1,13.7,.261,.389,.363,.752,49,2,134,1,68,2,0,,.276,.442,.327,.352,.376,.165,89.8,3.7,36.5,6,52.4,17.9,29,0.7,26.3,
Cabrera, Miguel,408234,2016,33,595,679,188,118,31,1,38,116,75,17.1,11.0,.316,.563,.393,.956,108,0,158,4,92,0,0,,.329,.671,.399,.446,.407,.342,93.6,12.3,40.1,15.9,43,23.3,29.3,4.3,24.3,
Gonzalez, Adrian,408236,2016,34,568,633,162,113,31,0,18,117,55,18.5,8.7,.285,.435,.349,.784,90,0,156,4,69,0,0,,.270,.419,.334,.324,.337,.149,88.2,9.6,38.9,4.6,48.4,18.2,30.4,3.1,24.0,
Phillips, Brandon,408252,2016,35,550,584,160,114,34,1,11,68,18,11.6,3.1,.291,.416,.318,.735,64,14,141,8,74,8,6,,.259,.369,.315,.286,.291,.110,86.4,10.3,35.1,2.7,47.1,16.3,30.2,6.3,26.0,
Upton Jr., B.J.,425834,2016,32,492,539,117,79,15,3,20,155,37,28.8,6.9,.238,.402,.289,.692,61,27,149,2,64,22,4,,.230,.388,.297,.292,.284,.159,88.3,9.2,31.4,5.8,49.4,22.1,23.5,4.9,28.2,
Molina, Yadier,425877,2016,34,534,581,164,117,38,1,8,63,39,10.8,6.7,.307,.427,.360,.787,58,3,147,6,56,3,0,,.277,.413,.342,.326,.334,.135,87.7,9.5,35.5,3.6,48.8,19.7,27.9,3.6,23.6,
Cano, Robinson,429664,2016,34,655,715,195,121,33,2,39,100,47,14.0,6.6,.298,.533,.350,.882,103,0,161,8,107,0,0,,.280,.473,.370,.345,.335,.193,90.1,11.5,32.9,7.3,46.4,21.1,25.7,6.8,24.7,
Encarnacion, Edwin,429665,2016,33,601,702,158,82,34,0,42,138,87,19.7,12.4,.263,.529,.356,.885,127,2,160,5,99,1,1,,.261,.532,.373,.378,.357,.271,90.8,15.8,35.9,12.3,38.4,26.1,26.1,9.3,25.2,
Bautista, Jose,430832,2016,36,423,517,99,52,24,1,22,103,87,19.9,16.8,.234,.452,.366,.817,69,2,116,3,68,2,0,,.251,.430,.355,.359,.382,.179,91.5,14.8,30.6,8.3,39.5,22.2,25,13.3,25.3,
Jones, Adam,430945,2016,31,619,672,164,116,19,0,29,115,39,17.1,5.8,.265,.436,.310,.746,83,2,152,5,86,2,0,,.257,.454,.319,.323,.304,.197,88.7,14.7,31.8,8,43.5,25.9,22.2,8.4,28.0,
Martin, Russell,431145,2016,33,455,535,105,69,16,0,20,148,64,27.7,12.0,.231,.398,.335,.732,74,2,137,10,62,2,0,,.221,.405,.322,.322,.328,.183,89.2,10,29.4,9.3,47.9,23,22.4,6.7,25.3,
Granderson, Curtis,434158,2016,35,545,633,129,70,24,5,30,130,74,20.5,11.7,.237,.464,.335,.799,59,4,150,9,88,4,0,,.242,.421,.339,.329,.340,.179,87.8,18.7,33.8,6.9,38.1,30,25,6.9,27.3,
Pagan, Angel,434636,2016,35,495,543,137,96,24,5,12,66,42,12.2,7.7,.277,.418,.330,.748,55,15,129,0,71,15,0,,.278,.380,.324,.312,.332,.102,85.7,12.4,36.1,3,42.6,18.8,32.6,6,27.7,
Ramirez, Hanley,434670,2016,33,549,620,157,98,28,1,30,120,60,19.4,9.7,.286,.505,.361,.866,111,9,147,7,81,9,0,,.256,.459,.367,.340,.336,.202,90.6,9.3,29.6,10.4,49.2,21.5,21.5,7.9,26.8,
Morales, Kendrys,434778,2016,33,558,618,147,93,24,0,30,120,48,19.4,7.8,.263,.468,.327,.795,93,0,154,7,65,0,0,,.288,.548,.339,.384,.353,.260,92.8,11.3,34.5,10.8,44.7,24.8,25.7,4.7,24.2,
Kendrick III, Howie,435062,2016,33,487,543,124,88,26,2,8,96,50,17.7,9.2,.255,.366,.326,.691,40,10,146,3,65,9,1,,.263,.409,.303,.327,.337,.146,90.5,1.7,26.9,5.8,61.2,12.4,24.9,1.5,26.7,
Napoli, Mike,435063,2016,35,557,645,133,76,22,1,34,194,78,30.1,12.1,.239,.465,.335,.800,101,5,150,5,92,4,1,,.218,.466,.343,.338,.319,.248,89.6,18.5,33.2,13.3,36.7,26.4,24.5,12.5,24.8,
Kinsler, Ian,435079,2016,34,618,679,178,117,29,4,28,115,45,16.9,6.6,.288,.484,.348,.831,83,14,153,13,117,11,3,,.263,.411,.356,.322,.325,.149,87.1,18.4,37.2,3.8,31.8,28.5,30.6,9.1,26.8,
Desmond, Ian,435622,2016,31,625,677,178,124,29,3,22,160,44,23.6,6.5,.285,.446,.335,.782,86,21,156,5,107,20,0,,.257,.421,.336,.317,.311,.164,90.7,4.8,28.4,7.5,53.6,17.7,23.3,5.3,28.6,
Cruz Jr., Nelson,443558,2016,36,589,667,169,98,27,1,43,159,62,23.8,9.3,.287,.555,.360,.915,105,2,155,9,96,2,0,,.274,.583,.383,.390,.350,.309,94.6,11.2,34.8,16.5,44.6,23.6,24.5,7.3,26.1,
Trumbo, Mark,444432,2016,30,613,667,157,82,27,1,47,170,51,25.5,7.6,.256,.533,.316,.850,108,2,159,3,94,2,0,,.262,.538,.358,.363,.322,.276,92.8,15.1,31.8,15.6,40.6,27.8,22.1,9.5,27.0,
Escobar, Alcides,444876,2016,30,637,682,166,129,24,6,7,96,27,14.1,4.0,.261,.350,.287,.637,55,17,162,3,57,17,0,,.241,.318,.278,.259,.274,.077,84,9.4,31.7,1.4,51.6,20,22.3,6.1,27.5,
Prado, Martin,445988,2016,33,600,658,183,135,37,3,8,69,49,10.5,7.4,.305,.417,.359,.775,75,2,153,4,70,2,0,,.279,.363,.335,.306,.335,.084,87.9,8.6,31.2,1.3,47.9,16.4,31,4.7,26.6,
Longoria, Evan,446334,2016,31,633,685,173,92,41,4,36,144,42,21.0,6.1,.273,.521,.318,.840,98,0,160,3,81,0,0,,.266,.533,.350,.357,.316,.267,90.8,18.3,38.1,12.1,32.5,30.8,26.4,10.3,27.5,
Cozart, Zack,446359,2016,31,464,508,117,71,28,2,16,84,37,16.5,7.3,.252,.425,.307,.732,50,4,121,2,67,4,0,,.236,.355,.312,.284,.294,.119,86.3,15.2,31.4,2.3,40,23.4,27.8,8.8,25.9,
