last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Myers, Wil,571976,2017,27,567,649,138,76,29,3,30,180,70,27.7,10.8,.243,.464,.328,.792,74,20,155,5,80,17,2,,.232,.435,.335,.326,.321,.204,89.5,15.4,35,9.1,38.8,25.4,26.4,9.4,28.5,
Seager, Kyle,572122,2017,30,578,650,144,83,33,1,27,110,58,16.9,8.9,.249,.450,.323,.773,88,2,154,8,72,2,0,,.255,.472,.326,.341,.330,.217,88.3,20.9,35,8.6,32.9,35.7,21.9,9.5,26.0,
Carpenter, Matt,572761,2017,32,497,622,120,64,31,2,23,125,109,20.1,17.5,.241,.451,.383,.833,69,2,145,9,91,2,0,,.253,.478,.361,.378,.395,.226,89.7,22.6,37.7,8.2,29,37.7,26.6,6.6,26.6,
Dickerson, Corey,572816,2017,28,588,629,166,102,33,4,27,152,35,24.2,5.6,.282,.490,.324,.814,62,4,150,3,84,3,1,,.258,.447,.341,.316,.302,.189,87.2,13.9,35.6,7.5,42.2,25.6,25.8,6.4,27.6,
Dozier, Brian,572821,2017,30,617,705,167,99,30,4,34,141,78,20.0,11.1,.271,.498,.359,.856,93,15,152,8,106,14,1,,.242,.465,.362,.340,.334,.223,87.9,16.7,32,8.4,38.9,28.9,22.4,9.8,27.1,
Bryant, Kris,592178,2017,25,549,665,162,91,38,4,29,128,95,19.2,14.3,.295,.537,.409,.946,73,7,151,15,111,7,0,,.259,.494,.399,.374,.381,.235,87,17,35.1,9.6,37.9,30.4,25.1,6.6,28.9,
Castellanos, Nick,592206,2017,25,614,665,167,95,36,10,26,142,41,21.4,6.2,.272,.490,.320,.811,101,4,157,5,73,3,1,,.290,.537,.341,.370,.339,.247,89,14.2,42.3,10.5,37.5,27,32.5,2.9,28.1,
Gamel, Ben,592325,2017,25,509,550,140,97,27,5,11,122,36,22.2,6.5,.275,.413,.322,.734,59,4,134,1,68,4,0,,.253,.377,.315,.295,.303,.124,86.3,10.9,33.2,4.1,46.3,20.2,27.4,6.1,28.4,
Healy, Ryon,592387,2017,25,576,605,156,102,29,0,25,142,23,23.5,3.8,.271,.451,.302,.754,78,0,149,4,66,0,0,,.246,.429,.320,.304,.281,.183,88.2,12.7,34.9,7.1,43.6,24.3,25.2,6.9,26.6,
Judge, Aaron,592450,2017,25,542,678,154,75,24,3,52,208,127,30.7,18.7,.284,.627,.422,1.049,114,9,155,5,128,8,1,,.286,.659,.430,.447,.426,.373,94.9,15.6,38.2,25.7,35.2,33.1,26.3,5.3,28.0,
Machado, Manny,592518,2017,25,630,690,163,96,33,1,33,115,50,16.7,7.2,.259,.471,.310,.782,95,9,156,1,81,9,0,,.284,.520,.328,.364,.337,.237,91.3,13.6,30.3,10.5,42.2,24.8,22.3,10.7,26.2,
Realmuto, J.T.,592663,2017,26,532,579,148,95,31,5,17,106,36,18.3,6.2,.278,.451,.332,.783,65,8,141,8,68,7,1,,.277,.441,.332,.332,.332,.164,88.2,10.1,32.6,6.3,48.5,21.7,24.5,5.4,28.6,
Rosario, Eddie,592696,2017,26,542,589,157,95,33,2,27,106,35,18.0,5.9,.290,.507,.326,.833,78,9,151,0,79,8,1,,.263,.475,.349,.329,.304,.212,87.2,13.3,32.4,7.4,43.1,27.5,23,6.5,27.5,
Simmons, Andrelton,592743,2017,28,589,647,164,110,38,2,14,67,47,10.4,7.3,.278,.421,.331,.752,69,19,158,3,77,15,4,,.258,.377,.323,.304,.315,.119,86.2,7.8,31.3,2.6,50.6,19.6,22.8,7,27.5,
Yelich, Christian,592885,2017,26,602,695,170,114,36,2,18,137,80,19.7,11.5,.282,.439,.368,.807,81,16,156,6,100,14,2,,.284,.455,.348,.359,.373,.171,90.6,4.7,29.5,7,55.6,16.3,25.5,2.5,28.3,
