last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Pujols, Albert,405395,2019,39,491,545,120,75,22,0,23,68,43,12.5,7.9,.244,.430,.305,.734,93,3,131,3,55,2,1,,.247,.422,.308,.315,.310,.175,88.3,12.5,26.5,5.8,46.2,26.7,16.9,10.2,22.5,
Cabrera, Miguel,408234,2019,36,493,549,139,106,21,0,12,108,48,19.7,8.7,.282,.398,.346,.744,59,0,136,3,41,0,0,,.266,.433,.318,.328,.334,.167,90.4,12.3,37.7,6.7,44.9,22.3,27.9,4.9,23.5,
Choo, Shin-Soo,425783,2019,37,563,660,149,92,31,2,24,165,78,25.0,11.8,.265,.455,.371,.826,61,15,151,18,93,9,6,,.262,.478,.353,.363,.370,.215,91.9,9.1,32.1,9,50.6,22.3,23.6,3.5,26.6,
Jones, Adam,430945,2019,34,485,528,126,84,25,1,16,101,31,19.1,5.9,.260,.414,.313,.727,67,2,137,8,66,2,0,,.256,.430,.308,.318,.311,.174,86.1,13.4,31.3,6.7,43.9,25.8,21.2,9,26.9,
Cruz Jr., Nelson,443558,2019,39,454,521,141,74,26,0,41,131,56,25.1,10.7,.311,.639,.392,1.030,108,0,120,7,81,0,0,,.290,.638,.418,.416,.378,.348,93.7,13.1,38.3,19.9,40.5,24.8,27,7.7,25.3,
Longoria, Evan,446334,2019,34,453,508,115,74,19,2,20,112,43,22.0,8.5,.254,.437,.325,.762,69,3,129,7,59,2,1,,.269,.491,.322,.351,.340,.222,89.7,14,35.8,7.5,41,26.6,27.2,5.2,26.4,
Fowler, Dexter,451594,2019,33,487,574,116,72,24,1,19,142,74,24.7,12.9,.238,.409,.345,.754,67,8,150,8,69,8,0,,.247,.417,.326,.336,.354,.170,85.5,13.1,40.6,7.4,39.4,26,28.6,6,27.7,
Cabrera, Asdrubal,452678,2019,34,447,514,116,72,25,1,18,103,57,20.0,11.1,.260,.441,.342,.783,91,4,131,3,69,4,0,,.237,.407,.331,.317,.326,.170,89.1,14.4,37.3,5.7,38.7,27.1,27.9,6.3,25.4,
Blackmon, Charlie,453568,2019,33,580,634,182,101,42,7,32,104,40,16.4,6.3,.314,.576,.364,.940,86,2,140,9,112,2,0,,.297,.531,.387,.370,.350,.234,88.7,14.6,36.8,8.3,40.3,26.8,26.6,6.2,26.7,
Cain, Lorenzo,456715,2019,33,562,623,146,105,30,0,11,106,50,17.0,8.0,.260,.372,.324,.696,48,18,148,6,75,15,3,,.283,.409,.302,.331,.347,.126,89.5,6.9,31.1,4.1,51.1,16.7,27.2,5.2,27.9,
Turner, Justin,457759,2019,35,479,549,139,88,24,0,27,88,51,16.0,9.3,.290,.509,.372,.881,67,2,135,14,80,2,0,,.283,.510,.370,.374,.368,.227,90.3,17.8,38.6,7.8,34.8,29.8,28.8,6.6,26.1,
Votto, Joey,458015,2019,36,525,608,137,89,32,1,15,123,76,20.2,12.5,.261,.411,.357,.768,47,5,142,4,79,5,0,,.254,.437,.332,.342,.353,.183,88.9,15.2,40.7,6.9,37.8,30.1,28.9,3.2,25.0,
