date,home_team,away_team,home_score,away_score
2015-04-09,Washington Nationals,New York Mets,6,3
2015-04-10,LA Angels of Anaheim,Kansas City Royals,4,2
2015-04-10,Arizona D'Backs,Los Angeles Dodgers,3,4
2015-04-10,Atlanta Braves,New York Mets,3,5
2015-04-10,Baltimore Orioles,Toronto Blue Jays,1,5
2015-04-10,Chicago White Sox,Minnesota Twins,6,0
2015-04-10,Cincinnati Reds,St. Louis Cardinals,4,5
2015-04-10,Cleveland Indians,Detroit Tigers,8,4
2015-04-10,Colorado Rockies,Chicago Cubs,1,5
2015-04-10,Miami Marlins,Tampa Bay Rays,9,0
2015-04-10,Milwaukee Brewers,Pittsburgh Pirates,6,2
2015-04-10,New York Yankees,Boston Red Sox,6,5
2015-04-10,Oakland Athletics,Seattle Mariners,0,2
2015-04-10,Philadelphia Phillies,Washington Nationals,1,4
2015-04-10,San Diego Padres,San Francisco Giants,0,1
2015-04-10,Texas Rangers,Houston Astros,5,1
2015-04-11,LA Angels of Anaheim,Kansas City Royals,6,4
2015-04-11,Arizona D'Backs,Los Angeles Dodgers,0,6
2015-04-11,Atlanta Braves,New York Mets,3,5
2015-04-11,Baltimore Orioles,Toronto Blue Jays,1,7
2015-04-11,Chicago White Sox,Minnesota Twins,4,5
2015-04-11,Cincinnati Reds,St. Louis Cardinals,4,1
2015-04-11,Cleveland Indians,Detroit Tigers,9,6
2015-04-11,Colorado Rockies,Chicago Cubs,9,5
2015-04-11,Miami Marlins,Tampa Bay Rays,2,0
2015-04-11,Milwaukee Brewers,Pittsburgh Pirates,0,6
2015-04-11,New York Yankees,Boston Red Sox,8,4
2015-04-11,Oakland Athletics,Seattle Mariners,5,4
2015-04-11,Philadelphia Phillies,Washington Nationals,2,3
2015-04-11,San Diego Padres,San Francisco Giants,2,0
2015-04-11,Texas Rangers,Houston Astros,2,6
2015-04-12,LA Angels of Anaheim,Kansas City Royals,9,2
2015-04-12,Arizona D'Backs,Los Angeles Dodgers,7,4
2015-04-12,Atlanta Braves,New York Mets,4,3
2015-04-12,Baltimore Orioles,Toronto Blue Jays,1,7
2015-04-12,Chicago White Sox,Minnesota Twins,2,6
2015-04-12,Cincinnati Reds,St. Louis Cardinals,7,5
2015-04-12,Cleveland Indians,Detroit Tigers,8,5
2015-04-12,Colorado Rockies,Chicago Cubs,6,5
2015-04-12,Miami Marlins,Tampa Bay Rays,8,5
2015-04-12,Milwaukee Brewers,Pittsburgh Pirates,1,2
2015-04-12,New York Yankees,Boston Red Sox,4,4
2015-04-12,Oakland Athletics,Seattle Mariners,8,7
2015-04-12,Philadelphia Phillies,Washington Nationals,4,3
2015-04-12,San Diego Padres,San Francisco Giants,4,6
2015-04-12,Texas Rangers,Houston Astros,6,4
2015-04-13,Atlanta Braves,Miami Marlins,2,3
2015-04-13,Baltimore Orioles,New York Yankees,6,5
2015-04-13,Boston Red Sox,Washington Nationals,4,9
2015-04-13,Chicago Cubs,Cincinnati Reds,6,7
2015-04-13,Houston Astros,Oakland Athletics,8,1
2015-04-13,Los Angeles Dodgers,Seattle Mariners,5,6
2015-04-13,Minnesota Twins,Kansas City Royals,1,3
2015-04-13,New York Mets,Philadelphia Phillies,0,2
2015-04-13,Pittsburgh Pirates,Detroit Tigers,4,5
2015-04-13,San Diego Padres,Arizona D'Backs,8,4
2015-04-13,San Francisco Giants,Colorado Rockies,2,0
2015-04-13,St. Louis Cardinals,Milwaukee Brewers,5,4
2015-04-13,Texas Rangers,LA Angels of Anaheim,6,3
2015-04-13,Toronto Blue Jays,Tampa Bay Rays,2,1
2015-04-14,Atlanta Braves,Miami Marlins,8,2
2015-04-14,Baltimore Orioles,New York Yankees,3,4
2015-04-14,Boston Red Sox,Washington Nationals,7,8
2015-04-14,Chicago Cubs,Cincinnati Reds,3,2
2015-04-14,Cleveland Indians,Chicago White Sox,4,1
2015-04-14,Houston Astros,Oakland Athletics,4,0
2015-04-14,Los Angeles Dodgers,Seattle Mariners,5,6
2015-04-14,New York Mets,Philadelphia Phillies,5,6
2015-04-14,Pittsburgh Pirates,Detroit Tigers,2,0
2015-04-14,San Diego Padres,Arizona D'Backs,1,5
2015-04-14,San Francisco Giants,Colorado Rockies,4,1
2015-04-14,Texas Rangers,LA Angels of Anaheim,2,8
2015-04-14,Toronto Blue Jays,Tampa Bay Rays,3,2
2015-04-15,Atlanta Braves,Miami Marlins,6,2
2015-04-15,Baltimore Orioles,New York Yankees,5,7
2015-04-15,Boston Red Sox,Washington Nationals,1,5
2015-04-15,Chicago Cubs,Cincinnati Reds,0,5
2015-04-15,Cleveland Indians,Chicago White Sox,2,4
2015-04-15,Houston Astros,Oakland Athletics,1,6
2015-04-15,Los Angeles Dodgers,Seattle Mariners,2,5
2015-04-15,Minnesota Twins,Kansas City Royals,1,3
2015-04-15,New York Mets,Philadelphia Phillies,1,6
2015-04-15,Pittsburgh Pirates,Detroit Tigers,1,0
2015-04-15,San Diego Padres,Arizona D'Backs,2,3
2015-04-15,San Francisco Giants,Colorado Rockies,4,2
2015-04-15,St. Louis Cardinals,Milwaukee Brewers,2,4
2015-04-15,Texas Rangers,LA Angels of Anaheim,1,2
2015-04-15,Toronto Blue Jays,Tampa Bay Rays,7,2
2015-04-16,Minnesota Twins,Kansas City Royals,5,8
2015-04-16,New York Mets,Miami Marlins,5,7
2015-04-16,San Francisco Giants,Arizona D'Backs,7,6
2015-04-16,St. Louis Cardinals,Milwaukee Brewers,0,4
2015-04-16,Toronto Blue Jays,Tampa Bay Rays,4,2
2015-04-16,Washington Nationals,Philadelphia Phillies,2,5
2015-04-17,Boston Red Sox,Baltimore Orioles,2,3
2015-04-17,Chicago Cubs,San Diego Padres,5,4
2015-04-17,Detroit Tigers,Chicago White Sox,1,2
2015-04-17,Houston Astros,LA Angels of Anaheim,6,3
2015-04-17,Kansas City Royals,Oakland Athletics,4,6
2015-04-17,Los Angeles Dodgers,Colorado Rockies,3,7
2015-04-17,Minnesota Twins,Cleveland Indians,2,3
2015-04-17,New York Mets,Miami Marlins,1,4
2015-04-17,Pittsburgh Pirates,Milwaukee Brewers,3,6
2015-04-17,Seattle Mariners,Texas Rangers,3,1
2015-04-17,San Francisco Giants,Arizona D'Backs,9,0
2015-04-17,St. Louis Cardinals,Cincinnati Reds,1,6
2015-04-17,Tampa Bay Rays,New York Yankees,5,4
2015-04-17,Toronto Blue Jays,Atlanta Braves,8,7
2015-04-17,Washington Nationals,Philadelphia Phillies,2,7
2015-04-18,Boston Red Sox,Baltimore Orioles,4,1
2015-04-18,Chicago Cubs,San Diego Padres,6,7
2015-04-18,Detroit Tigers,Chicago White Sox,1,3
2015-04-18,Houston Astros,LA Angels of Anaheim,0,4
2015-04-18,Kansas City Royals,Oakland Athletics,5,0
2015-04-18,Los Angeles Dodgers,Colorado Rockies,3,6
2015-04-18,Minnesota Twins,Cleveland Indians,4,2
2015-04-18,New York Mets,Miami Marlins,4,5
2015-04-18,Pittsburgh Pirates,Milwaukee Brewers,2,6
2015-04-18,Seattle Mariners,Texas Rangers,1,3
2015-04-18,San Francisco Giants,Arizona D'Backs,1,4
2015-04-18,St. Louis Cardinals,Cincinnati Reds,2,5
2015-04-18,Tampa Bay Rays,New York Yankees,9,0
2015-04-18,Toronto Blue Jays,Atlanta Braves,5,6
2015-04-18,Washington Nationals,Philadelphia Phillies,5,3
2015-04-19,Boston Red Sox,Baltimore Orioles,8,3
2015-04-19,Chicago Cubs,San Diego Padres,5,2
2015-04-19,Detroit Tigers,Chicago White Sox,1,9
2015-04-19,Houston Astros,LA Angels of Anaheim,3,4
2015-04-19,Kansas City Royals,Oakland Athletics,2,4
2015-04-19,Los Angeles Dodgers,Colorado Rockies,0,7
2015-04-19,Minnesota Twins,Cleveland Indians,2,7
2015-04-19,New York Mets,Miami Marlins,6,7
2015-04-19,Pittsburgh Pirates,Milwaukee Brewers,2,5
2015-04-19,Seattle Mariners,Texas Rangers,1,1
2015-04-19,San Francisco Giants,Arizona D'Backs,5,1
2015-04-19,St. Louis Cardinals,Cincinnati Reds,1,2
2015-04-19,Tampa Bay Rays,New York Yankees,5,3
2015-04-19,Toronto Blue Jays,Atlanta Braves,5,2
2015-04-19,Washington Nationals,Philadelphia Phillies,1,4
2015-04-20,LA Angels of Anaheim,Oakland Athletics,6,3
2015-04-20,Boston Red Sox,Baltimore Orioles,1,7
2015-04-20,Chicago White Sox,Cleveland Indians,3,4
2015-04-20,Colorado Rockies,San Diego Padres,1,3
2015-04-20,Detroit Tigers,New York Yankees,1,2
2015-04-20,Kansas City Royals,Minnesota Twins,1,7
2015-04-20,Milwaukee Brewers,Cincinnati Reds,6,1
