date,home_team,away_team,home_score,away_score
2016-07-19,Seattle Mariners,Chicago White Sox,6,1
2016-07-19,Washington Nationals,Los Angeles Dodgers,8,4
2016-07-20,Los Angeles Angels,Texas Rangers,4,7
2016-07-20,Arizona D'Backs,Toronto Blue Jays,1,4
2016-07-20,Boston Red Sox,San Francisco Giants,7,1
2016-07-20,Chicago Cubs,New York Mets,2,6
2016-07-20,Cincinnati Reds,Atlanta Braves,3,6
2016-07-20,Colorado Rockies,Tampa Bay Rays,1,3
2016-07-20,Detroit Tigers,Minnesota Twins,4,1
2016-07-20,Kansas City Royals,Cleveland Indians,1,4
2016-07-20,New York Yankees,Baltimore Orioles,0,5
2016-07-20,Oakland Athletics,Houston Astros,7,0
2016-07-20,Philadelphia Phillies,Miami Marlins,1,4
2016-07-20,Pittsburgh Pirates,Milwaukee Brewers,9,5
2016-07-20,Seattle Mariners,Chicago White Sox,5,6
2016-07-20,St. Louis Cardinals,San Diego Padres,2,4
2016-07-20,St. Louis Cardinals,San Diego Padres,2,3
2016-07-20,Washington Nationals,Los Angeles Dodgers,1,8
2016-07-21,Boston Red Sox,Minnesota Twins,2,3
2016-07-21,Chicago White Sox,Detroit Tigers,2,1
2016-07-21,Colorado Rockies,Atlanta Braves,3,7
2016-07-21,New York Yankees,Baltimore Orioles,4,1
2016-07-21,Oakland Athletics,Tampa Bay Rays,7,3
2016-07-21,Philadelphia Phillies,Miami Marlins,9,3
2016-07-21,Pittsburgh Pirates,Milwaukee Brewers,3,5
2016-07-21,St. Louis Cardinals,San Diego Padres,5,6
2016-07-21,Washington Nationals,Los Angeles Dodgers,6,3
2016-07-22,Baltimore Orioles,Cleveland Indians,1,5
2016-07-22,Boston Red Sox,Minnesota Twins,2,1
2016-07-22,Chicago White Sox,Detroit Tigers,7,5
2016-07-22,Cincinnati Reds,Arizona D'Backs,2,6
2016-07-22,Colorado Rockies,Atlanta Braves,3,4
2016-07-22,Houston Astros,Los Angeles Angels,1,2
2016-07-22,Kansas City Royals,Texas Rangers,1,3
2016-07-22,Miami Marlins,New York Mets,5,3
2016-07-22,Milwaukee Brewers,Chicago Cubs,5,2
2016-07-22,New York Yankees,San Francisco Giants,2,3
2016-07-22,Oakland Athletics,Tampa Bay Rays,0,1
2016-07-22,Pittsburgh Pirates,Philadelphia Phillies,4,0
2016-07-22,St. Louis Cardinals,Los Angeles Dodgers,3,4
2016-07-22,Toronto Blue Jays,Seattle Mariners,2,1
2016-07-22,Washington Nationals,San Diego Padres,5,3
2016-07-23,Baltimore Orioles,Cleveland Indians,2,5
2016-07-23,Boston Red Sox,Minnesota Twins,1,9
2016-07-23,Chicago White Sox,Detroit Tigers,3,4
2016-07-23,Cincinnati Reds,Arizona D'Backs,1,6
2016-07-23,Colorado Rockies,Atlanta Braves,4,8
2016-07-23,Houston Astros,Los Angeles Angels,2,7
2016-07-23,Kansas City Royals,Texas Rangers,7,4
2016-07-23,Miami Marlins,New York Mets,2,7
2016-07-23,Milwaukee Brewers,Chicago Cubs,1,6
2016-07-23,New York Yankees,San Francisco Giants,2,1
2016-07-23,Oakland Athletics,Tampa Bay Rays,3,4
2016-07-23,Pittsburgh Pirates,Philadelphia Phillies,4,7
2016-07-23,St. Louis Cardinals,Los Angeles Dodgers,7,2
2016-07-23,Toronto Blue Jays,Seattle Mariners,1,5
2016-07-23,Washington Nationals,San Diego Padres,2,3
2016-07-24,Baltimore Orioles,Cleveland Indians,3,5
2016-07-24,Boston Red Sox,Minnesota Twins,7,8
2016-07-24,Chicago White Sox,Detroit Tigers,4,5
2016-07-24,Cincinnati Reds,Arizona D'Backs,9,8
2016-07-24,Colorado Rockies,Atlanta Braves,2,7
2016-07-24,Houston Astros,Los Angeles Angels,3,3
2016-07-24,Kansas City Royals,Texas Rangers,2,1
2016-07-24,Miami Marlins,New York Mets,3,0
2016-07-24,Milwaukee Brewers,Chicago Cubs,6,5
2016-07-24,New York Yankees,San Francisco Giants,2,5
2016-07-24,Oakland Athletics,Tampa Bay Rays,2,3
2016-07-24,Pittsburgh Pirates,Philadelphia Phillies,4,5
2016-07-24,St. Louis Cardinals,Los Angeles Dodgers,9,6
2016-07-24,Toronto Blue Jays,Seattle Mariners,0,2
2016-07-24,Washington Nationals,San Diego Padres,1,6
2016-07-25,Baltimore Orioles,Colorado Rockies,2,3
2016-07-25,Boston Red Sox,Detroit Tigers,4,2
2016-07-25,Chicago White Sox,Chicago Cubs,4,5
2016-07-25,Houston Astros,New York Yankees,2,1
2016-07-25,Kansas City Royals,Los Angeles Angels,6,2
2016-07-25,Miami Marlins,Philadelphia Phillies,4,0
2016-07-25,Milwaukee Brewers,Arizona D'Backs,2,7
2016-07-25,San Francisco Giants,Cincinnati Reds,7,5
2016-07-25,Texas Rangers,Oakland Athletics,6,7
2016-07-25,Toronto Blue Jays,San Diego Padres,2,4
2016-07-26,Baltimore Orioles,Colorado Rockies,6,3
2016-07-26,Boston Red Sox,Detroit Tigers,9,8
2016-07-26,Chicago White Sox,Chicago Cubs,0,3
2016-07-26,Cleveland Indians,Washington Nationals,6,7
2016-07-26,Houston Astros,New York Yankees,6,3
2016-07-26,Kansas City Royals,Los Angeles Angels,1,0
2016-07-26,Los Angeles Dodgers,Tampa Bay Rays,2,3
2016-07-26,Miami Marlins,Philadelphia Phillies,0,5
2016-07-26,Milwaukee Brewers,Arizona D'Backs,4,9
2016-07-26,Minnesota Twins,Atlanta Braves,2,0
2016-07-26,New York Mets,St. Louis Cardinals,3,2
2016-07-26,New York Mets,St. Louis Cardinals,1,3
2016-07-26,Pittsburgh Pirates,Seattle Mariners,7,4
2016-07-26,San Francisco Giants,Cincinnati Reds,7,9
2016-07-26,Texas Rangers,Oakland Athletics,6,3
2016-07-26,Toronto Blue Jays,San Diego Padres,6,7
2016-07-27,Baltimore Orioles,Colorado Rockies,3,1
2016-07-27,Boston Red Sox,Detroit Tigers,4,3
2016-07-27,Chicago Cubs,Chicago White Sox,1,8
2016-07-27,Cleveland Indians,Washington Nationals,4,1
2016-07-27,Houston Astros,New York Yankees,1,4
2016-07-27,Kansas City Royals,Los Angeles Angels,5,7
2016-07-27,Los Angeles Dodgers,Tampa Bay Rays,3,1
2016-07-27,Miami Marlins,Philadelphia Phillies,1,1
2016-07-27,Milwaukee Brewers,Arizona D'Backs,8,1
2016-07-27,Minnesota Twins,Atlanta Braves,9,7
2016-07-27,New York Mets,St. Louis Cardinals,5,4
2016-07-27,Pittsburgh Pirates,Seattle Mariners,1,0
2016-07-27,San Francisco Giants,Cincinnati Reds,2,1
2016-07-27,Texas Rangers,Oakland Athletics,6,4
2016-07-27,Toronto Blue Jays,San Diego Padres,8,4
2016-07-28,Los Angeles Angels,Boston Red Sox,1,2
2016-07-28,Atlanta Braves,Philadelphia Phillies,7,5
2016-07-28,Chicago Cubs,Chicago White Sox,1,3
2016-07-28,Miami Marlins,St. Louis Cardinals,5,4
2016-07-28,Milwaukee Brewers,Arizona D'Backs,4,6
2016-07-28,Minnesota Twins,Baltimore Orioles,2,6
2016-07-28,New York Mets,Colorado Rockies,2,1
2016-07-28,San Francisco Giants,Washington Nationals,4,2
2016-07-28,Texas Rangers,Kansas City Royals,2,3
2016-07-29,Los Angeles Angels,Boston Red Sox,6,2
2016-07-29,Atlanta Braves,Philadelphia Phillies,1,2
2016-07-29,Chicago Cubs,Seattle Mariners,1,2
2016-07-29,Cleveland Indians,Oakland Athletics,3,5
2016-07-29,Detroit Tigers,Houston Astros,6,4
2016-07-29,Los Angeles Dodgers,Arizona D'Backs,7,9
2016-07-29,Miami Marlins,St. Louis Cardinals,1,6
2016-07-29,Milwaukee Brewers,Pittsburgh Pirates,1,3
2016-07-29,Minnesota Twins,Chicago White Sox,1,2
2016-07-29,New York Mets,Colorado Rockies,6,1
2016-07-29,San Diego Padres,Cincinnati Reds,6,0
2016-07-29,San Francisco Giants,Washington Nationals,4,1
2016-07-29,Tampa Bay Rays,New York Yankees,1,5
2016-07-29,Texas Rangers,Kansas City Royals,3,8
2016-07-29,Toronto Blue Jays,Baltimore Orioles,5,6
2016-07-30,Los Angeles Angels,Boston Red Sox,2,5
2016-07-30,Atlanta Braves,Philadelphia Phillies,9,5
2016-07-30,Chicago Cubs,Seattle Mariners,4,1
2016-07-30,Cleveland Indians,Oakland Athletics,3,6
2016-07-30,Detroit Tigers,Houston Astros,2,3
2016-07-30,Los Angeles Dodgers,Arizona D'Backs,4,2
2016-07-30,Miami Marlins,St. Louis Cardinals,0,1
2016-07-30,Milwaukee Brewers,Pittsburgh Pirates,3,5
2016-07-30,Minnesota Twins,Chicago White Sox,6,5
2016-07-30,New York Mets,Colorado Rockies,7,2
2016-07-30,San Diego Padres,Cincinnati Reds,1,2
2016-07-30,San Francisco Giants,Washington Nationals,3,5
2016-07-30,Tampa Bay Rays,New York Yankees,3,6
2016-07-30,Texas Rangers,Kansas City Royals,1,2
2016-07-30,Toronto Blue Jays,Baltimore Orioles,1,9
2016-07-31,Los Angeles Angels,Boston Red Sox,5,3
2016-07-31,Atlanta Braves,Philadelphia Phillies,1,2
2016-07-31,Chicago Cubs,Seattle Mariners,6,7
2016-07-31,Cleveland Indians,Oakland Athletics,0,8
2016-07-31,Detroit Tigers,Houston Astros,0,1
2016-07-31,Los Angeles Dodgers,Arizona D'Backs,3,4
2016-07-31,Miami Marlins,St. Louis Cardinals,4,5
2016-07-31,Milwaukee Brewers,Pittsburgh Pirates,2,4
2016-07-31,Minnesota Twins,Chicago White Sox,4,6
2016-07-31,New York Mets,Colorado Rockies,4,6
2016-07-31,San Diego Padres,Cincinnati Reds,3,2
2016-07-31,San Francisco Giants,Washington Nationals,1,3
2016-07-31,Tampa Bay Rays,New York Yankees,3,5
2016-07-31,Texas Rangers,Kansas City Royals,3,5
2016-07-31,Toronto Blue Jays,Baltimore Orioles,6,2
2016-08-01,Arizona D'Backs,Washington Nationals,1,1
2016-08-01,Chicago Cubs,Miami Marlins,0,5
2016-08-01,Cleveland Indians,Minnesota Twins,1,5
2016-08-01,Houston Astros,Toronto Blue Jays,1,2
2016-08-01,New York Mets,New York Yankees,6,5
2016-08-01,San Diego Padres,Milwaukee Brewers,3,7
2016-08-01,Seattle Mariners,Boston Red Sox,2,1
2016-08-01,Tampa Bay Rays,Kansas City Royals,3,0
2016-08-02,Los Angeles Angels,Oakland Athletics,4,5
2016-08-02,Arizona D'Backs,Washington Nationals,1,4
2016-08-02,Atlanta Braves,Pittsburgh Pirates,5,3
2016-08-02,Baltimore Orioles,Texas Rangers,1,5
2016-08-02,Chicago Cubs,Miami Marlins,2,3
2016-08-02,Cincinnati Reds,St. Louis Cardinals,5,7
2016-08-02,Cleveland Indians,Minnesota Twins,1,6
2016-08-02,Colorado Rockies,Los Angeles Dodgers,3,7
2016-08-02,Detroit Tigers,Chicago White Sox,5,1
2016-08-02,Houston Astros,Toronto Blue Jays,2,1
2016-08-02,New York Mets,New York Yankees,1,7
2016-08-02,Philadelphia Phillies,San Francisco Giants,8,3
2016-08-02,San Diego Padres,Milwaukee Brewers,3,2
2016-08-02,Seattle Mariners,Boston Red Sox,4,5
2016-08-02,Tampa Bay Rays,Kansas City Royals,3,2
2016-08-03,Los Angeles Angels,Oakland Athletics,6,8
2016-08-03,Arizona D'Backs,Washington Nationals,8,3
2016-08-03,Atlanta Braves,Pittsburgh Pirates,4,8
2016-08-03,Baltimore Orioles,Texas Rangers,2,3
2016-08-03,Chicago Cubs,Miami Marlins,4,5
2016-08-03,Cincinnati Reds,St. Louis Cardinals,5,4
2016-08-03,Cleveland Indians,Minnesota Twins,1,5
2016-08-03,Colorado Rockies,Los Angeles Dodgers,2,2
2016-08-03,Detroit Tigers,Chicago White Sox,1,2
2016-08-03,Houston Astros,Toronto Blue Jays,3,1
2016-08-03,New York Yankees,New York Mets,5,9
2016-08-03,Philadelphia Phillies,San Francisco Giants,4,5
2016-08-03,San Diego Padres,Milwaukee Brewers,3,2
2016-08-03,Seattle Mariners,Boston Red Sox,1,3
2016-08-03,Tampa Bay Rays,Kansas City Royals,0,2
2016-08-04,Los Angeles Angels,Oakland Athletics,8,6
2016-08-04,Atlanta Braves,Pittsburgh Pirates,2,5
2016-08-04,Baltimore Orioles,Texas Rangers,5,3
2016-08-04,Cincinnati Reds,St. Louis Cardinals,0,7
2016-08-04,Cleveland Indians,Minnesota Twins,2,9
2016-08-04,Colorado Rockies,Los Angeles Dodgers,4,2
2016-08-04,Detroit Tigers,Chicago White Sox,6,3
2016-08-04,Houston Astros,Toronto Blue Jays,4,1
2016-08-04,New York Yankees,New York Mets,4,1
2016-08-04,Philadelphia Phillies,San Francisco Giants,3,2
2016-08-04,Seattle Mariners,Boston Red Sox,3,2
2016-08-04,Tampa Bay Rays,Kansas City Royals,2,3
2016-08-05,Arizona D'Backs,Milwaukee Brewers,2,3
2016-08-05,Chicago White Sox,Baltimore Orioles,7,5
2016-08-05,Colorado Rockies,Miami Marlins,5,3
2016-08-05,Detroit Tigers,New York Mets,3,4
2016-08-05,Houston Astros,Texas Rangers,0,5
2016-08-05,Kansas City Royals,Toronto Blue Jays,4,3
2016-08-05,Los Angeles Dodgers,Boston Red Sox,9,0
2016-08-05,New York Yankees,Cleveland Indians,7,3
2016-08-05,Oakland Athletics,Chicago Cubs,7,2
2016-08-05,Pittsburgh Pirates,Cincinnati Reds,2,3
2016-08-05,San Diego Padres,Philadelphia Phillies,5,4
2016-08-05,Seattle Mariners,Los Angeles Angels,4,6
2016-08-05,St. Louis Cardinals,Atlanta Braves,0,1
2016-08-05,Tampa Bay Rays,Minnesota Twins,6,2
2016-08-05,Washington Nationals,San Francisco Giants,1,5
2016-08-06,Arizona D'Backs,Milwaukee Brewers,1,6
2016-08-06,Chicago White Sox,Baltimore Orioles,2,4
2016-08-06,Colorado Rockies,Miami Marlins,6,2
2016-08-06,Detroit Tigers,New York Mets,5,6
2016-08-06,Houston Astros,Texas Rangers,3,2
2016-08-06,Kansas City Royals,Toronto Blue Jays,2,4
2016-08-06,Los Angeles Dodgers,Boston Red Sox,0,3
2016-08-06,New York Yankees,Cleveland Indians,5,2
2016-08-06,Oakland Athletics,Chicago Cubs,4,0
2016-08-06,Pittsburgh Pirates,Cincinnati Reds,3,5
2016-08-06,San Diego Padres,Philadelphia Phillies,7,9
2016-08-06,Seattle Mariners,Los Angeles Angels,6,8
2016-08-06,St. Louis Cardinals,Atlanta Braves,1,5
2016-08-06,Tampa Bay Rays,Minnesota Twins,3,7
2016-08-06,Washington Nationals,San Francisco Giants,7,1
2016-08-07,Arizona D'Backs,Milwaukee Brewers,3,9
2016-08-07,Chicago White Sox,Baltimore Orioles,1,2
2016-08-07,Colorado Rockies,Miami Marlins,1,7
2016-08-07,Detroit Tigers,New York Mets,3,1
2016-08-07,Houston Astros,Texas Rangers,5,3
2016-08-07,Kansas City Royals,Toronto Blue Jays,1,7
2016-08-07,Los Angeles Dodgers,Boston Red Sox,5,8
2016-08-07,New York Yankees,Cleveland Indians,2,3
2016-08-07,Oakland Athletics,Chicago Cubs,3,1
2016-08-07,Pittsburgh Pirates,Cincinnati Reds,7,3
2016-08-07,San Diego Padres,Philadelphia Phillies,6,5
2016-08-07,Seattle Mariners,Los Angeles Angels,1,3
2016-08-07,St. Louis Cardinals,Atlanta Braves,6,3
2016-08-07,Tampa Bay Rays,Minnesota Twins,6,3
2016-08-07,Washington Nationals,San Francisco Giants,0,1
2016-08-08,Colorado Rockies,Texas Rangers,4,3
2016-08-08,Los Angeles Dodgers,Philadelphia Phillies,4,9
2016-08-08,Miami Marlins,San Francisco Giants,8,7
2016-08-08,Milwaukee Brewers,Atlanta Braves,4,3
2016-08-08,Minnesota Twins,Houston Astros,1,3
2016-08-08,Oakland Athletics,Baltimore Orioles,2,3
2016-08-08,Seattle Mariners,Detroit Tigers,0,3
2016-08-08,St. Louis Cardinals,Cincinnati Reds,4,5
2016-08-08,Toronto Blue Jays,Tampa Bay Rays,5,7
2016-08-09,Boston Red Sox,New York Yankees,3,5
2016-08-09,Chicago Cubs,Los Angeles Angels,1,5
2016-08-09,Colorado Rockies,Texas Rangers,7,5
2016-08-09,Kansas City Royals,Chicago White Sox,7,5
2016-08-09,Los Angeles Dodgers,Philadelphia Phillies,3,9
2016-08-09,Miami Marlins,San Francisco Giants,0,2
2016-08-09,Milwaukee Brewers,Atlanta Braves,2,1
2016-08-09,Minnesota Twins,Houston Astros,7,5
2016-08-09,New York Mets,Arizona D'Backs,5,3
2016-08-09,Oakland Athletics,Baltimore Orioles,1,2
2016-08-09,Pittsburgh Pirates,San Diego Padres,4,6
2016-08-09,Seattle Mariners,Detroit Tigers,5,6
2016-08-09,St. Louis Cardinals,Cincinnati Reds,7,4
2016-08-09,Toronto Blue Jays,Tampa Bay Rays,9,2
2016-08-09,Washington Nationals,Cleveland Indians,3,1
2016-08-10,Boston Red Sox,New York Yankees,9,4
2016-08-10,Chicago Cubs,Los Angeles Angels,1,3
2016-08-10,Kansas City Royals,Chicago White Sox,2,3
2016-08-10,Los Angeles Dodgers,Philadelphia Phillies,6,2
2016-08-10,Miami Marlins,San Francisco Giants,1,0
2016-08-10,Milwaukee Brewers,Atlanta Braves,3,4
2016-08-10,New York Mets,Arizona D'Backs,3,2
2016-08-10,Oakland Athletics,Baltimore Orioles,0,1
2016-08-10,Pittsburgh Pirates,San Diego Padres,4,0
2016-08-10,Seattle Mariners,Detroit Tigers,1,3
2016-08-10,St. Louis Cardinals,Cincinnati Reds,2,3
2016-08-10,Texas Rangers,Colorado Rockies,4,5
2016-08-10,Toronto Blue Jays,Tampa Bay Rays,0,7
2016-08-10,Washington Nationals,Cleveland Indians,4,7
2016-08-11,Boston Red Sox,New York Yankees,4,2
2016-08-11,Chicago Cubs,St. Louis Cardinals,3,4
2016-08-11,Cleveland Indians,Los Angeles Angels,4,4
2016-08-11,Kansas City Royals,Chicago White Sox,1,2
2016-08-11,Milwaukee Brewers,Atlanta Braves,3,1
2016-08-11,Minnesota Twins,Houston Astros,1,7
2016-08-11,Minnesota Twins,Houston Astros,1,2
2016-08-11,New York Mets,Arizona D'Backs,9,0
2016-08-11,Oakland Athletics,Baltimore Orioles,9,6
2016-08-11,Pittsburgh Pirates,San Diego Padres,0,4
2016-08-11,Texas Rangers,Colorado Rockies,1,9
2016-08-12,Boston Red Sox,Arizona D'Backs,4,9
2016-08-12,Chicago Cubs,St. Louis Cardinals,2,3
2016-08-12,Cleveland Indians,Los Angeles Angels,3,3
2016-08-12,Los Angeles Dodgers,Pittsburgh Pirates,5,1
2016-08-12,Miami Marlins,Chicago White Sox,4,2
2016-08-12,Milwaukee Brewers,Cincinnati Reds,7,4
2016-08-12,Minnesota Twins,Kansas City Royals,7,3
2016-08-12,New York Yankees,Tampa Bay Rays,3,6
2016-08-12,New York Mets,San Diego Padres,8,6
2016-08-12,Oakland Athletics,Seattle Mariners,3,6
2016-08-12,Philadelphia Phillies,Colorado Rockies,6,0
2016-08-12,San Francisco Giants,Baltimore Orioles,5,2
2016-08-12,Texas Rangers,Detroit Tigers,5,8
2016-08-12,Toronto Blue Jays,Houston Astros,5,3
2016-08-12,Washington Nationals,Atlanta Braves,8,5
2016-08-13,Boston Red Sox,Arizona D'Backs,3,6
2016-08-13,Chicago Cubs,St. Louis Cardinals,8,4
2016-08-13,Cleveland Indians,Los Angeles Angels,1,5
2016-08-13,Los Angeles Dodgers,Pittsburgh Pirates,4,8
2016-08-13,Miami Marlins,Chicago White Sox,8,7
2016-08-13,Milwaukee Brewers,Cincinnati Reds,1,5
2016-08-13,Minnesota Twins,Kansas City Royals,3,5
2016-08-13,New York Yankees,Tampa Bay Rays,4,8
2016-08-13,New York Mets,San Diego Padres,2,3
2016-08-13,Oakland Athletics,Seattle Mariners,4,3
2016-08-13,Philadelphia Phillies,Colorado Rockies,3,6
2016-08-13,San Francisco Giants,Baltimore Orioles,2,6
2016-08-13,Texas Rangers,Detroit Tigers,2,0
2016-08-13,Toronto Blue Jays,Houston Astros,2,4
2016-08-13,Washington Nationals,Atlanta Braves,6,7
2016-08-14,Boston Red Sox,Arizona D'Backs,2,6
2016-08-14,Chicago Cubs,St. Louis Cardinals,6,4
2016-08-14,Cleveland Indians,Los Angeles Angels,4,5
2016-08-14,Los Angeles Dodgers,Pittsburgh Pirates,1,3
2016-08-14,Miami Marlins,Chicago White Sox,4,5
2016-08-14,Milwaukee Brewers,Cincinnati Reds,3,7
2016-08-14,Minnesota Twins,Kansas City Royals,1,4
2016-08-14,New York Yankees,Tampa Bay Rays,1,3
2016-08-14,New York Mets,San Diego Padres,1,5
2016-08-14,Oakland Athletics,Seattle Mariners,8,4
2016-08-14,Philadelphia Phillies,Colorado Rockies,6,7
2016-08-14,San Francisco Giants,Baltimore Orioles,8,7
2016-08-14,Texas Rangers,Detroit Tigers,7,0
2016-08-14,Toronto Blue Jays,Houston Astros,2,9
2016-08-14,Washington Nationals,Atlanta Braves,1,9
2016-08-15,Los Angeles Angels,Seattle Mariners,3,2
2016-08-15,Arizona D'Backs,New York Mets,6,0
2016-08-15,Cincinnati Reds,Miami Marlins,6,3
2016-08-15,Cleveland Indians,Boston Red Sox,3,2
2016-08-15,Colorado Rockies,Washington Nationals,5,4
2016-08-15,Detroit Tigers,Kansas City Royals,3,1
2016-08-15,New York Yankees,Toronto Blue Jays,0,1
2016-08-15,San Francisco Giants,Pittsburgh Pirates,8,5
2016-08-15,Tampa Bay Rays,San Diego Padres,2,8
2016-08-15,Texas Rangers,Oakland Athletics,2,5
2016-08-16,Los Angeles Angels,Seattle Mariners,6,7
2016-08-16,Arizona D'Backs,New York Mets,7,5
2016-08-16,Atlanta Braves,Minnesota Twins,4,2
2016-08-16,Baltimore Orioles,Boston Red Sox,5,3
2016-08-16,Chicago Cubs,Milwaukee Brewers,0,4
2016-08-16,Chicago Cubs,Milwaukee Brewers,1,4
2016-08-16,Cincinnati Reds,Miami Marlins,3,6
2016-08-16,Cleveland Indians,Chicago White Sox,1,3
2016-08-16,Colorado Rockies,Washington Nationals,2,6
2016-08-16,Detroit Tigers,Kansas City Royals,6,1
2016-08-16,Houston Astros,St. Louis Cardinals,8,5
2016-08-16,New York Yankees,Toronto Blue Jays,1,6
2016-08-16,Philadelphia Phillies,Los Angeles Dodgers,1,5
2016-08-16,San Francisco Giants,Pittsburgh Pirates,4,3
2016-08-16,Tampa Bay Rays,San Diego Padres,1,5
2016-08-16,Texas Rangers,Oakland Athletics,4,5
2016-08-17,Los Angeles Angels,Seattle Mariners,4,3
2016-08-17,Arizona D'Backs,New York Mets,5,3
2016-08-17,Atlanta Braves,Minnesota Twins,1,3
2016-08-17,Baltimore Orioles,Boston Red Sox,8,1
2016-08-17,Chicago Cubs,Milwaukee Brewers,1,6
2016-08-17,Cincinnati Reds,Miami Marlins,2,3
2016-08-17,Cleveland Indians,Chicago White Sox,1,7
2016-08-17,Colorado Rockies,Washington Nationals,1,2
2016-08-17,Detroit Tigers,Kansas City Royals,4,1
2016-08-17,Houston Astros,St. Louis Cardinals,8,2
2016-08-17,New York Yankees,Toronto Blue Jays,7,4
2016-08-17,Philadelphia Phillies,Los Angeles Dodgers,7,2
2016-08-17,San Francisco Giants,Pittsburgh Pirates,6,5
2016-08-17,Tampa Bay Rays,San Diego Padres,0,2
2016-08-17,Texas Rangers,Oakland Athletics,2,6
2016-08-18,Los Angeles Angels,Seattle Mariners,4,6
2016-08-18,Atlanta Braves,Washington Nationals,8,2
2016-08-18,Baltimore Orioles,Houston Astros,5,3
2016-08-18,Chicago Cubs,Milwaukee Brewers,6,9
2016-08-18,Cincinnati Reds,Miami Marlins,4,5
2016-08-18,Cleveland Indians,Chicago White Sox,4,5
2016-08-18,Detroit Tigers,Boston Red Sox,3,4
2016-08-18,Kansas City Royals,Minnesota Twins,1,8
2016-08-18,Philadelphia Phillies,Los Angeles Dodgers,4,5
2016-08-18,San Diego Padres,Arizona D'Backs,8,9
2016-08-18,San Francisco Giants,New York Mets,7,0
2016-08-19,Los Angeles Angels,New York Yankees,7,0
2016-08-19,Atlanta Braves,Washington Nationals,7,6
2016-08-19,Baltimore Orioles,Houston Astros,1,8
2016-08-19,Chicago White Sox,Oakland Athletics,9,0
2016-08-19,Cincinnati Reds,Los Angeles Dodgers,2,9
2016-08-19,Cleveland Indians,Toronto Blue Jays,2,3
2016-08-19,Colorado Rockies,Chicago Cubs,6,7
2016-08-19,Detroit Tigers,Boston Red Sox,1,2
2016-08-19,Kansas City Royals,Minnesota Twins,4,5
2016-08-19,Philadelphia Phillies,St. Louis Cardinals,4,3
2016-08-19,Pittsburgh Pirates,Miami Marlins,6,5
2016-08-19,San Diego Padres,Arizona D'Backs,4,7
2016-08-19,Seattle Mariners,Milwaukee Brewers,6,7
2016-08-19,San Francisco Giants,New York Mets,1,8
2016-08-19,Tampa Bay Rays,Texas Rangers,6,2
2016-08-20,Los Angeles Angels,New York Yankees,5,1
2016-08-20,Atlanta Braves,Washington Nationals,1,9
2016-08-20,Baltimore Orioles,Houston Astros,1,2
2016-08-20,Chicago White Sox,Oakland Athletics,2,6
2016-08-20,Cincinnati Reds,Los Angeles Dodgers,1,1
2016-08-20,Cleveland Indians,Toronto Blue Jays,6,5
2016-08-20,Colorado Rockies,Chicago Cubs,9,2
2016-08-20,Detroit Tigers,Boston Red Sox,3,2
2016-08-20,Kansas City Royals,Minnesota Twins,0,0
2016-08-20,Philadelphia Phillies,St. Louis Cardinals,2,4
2016-08-20,Pittsburgh Pirates,Miami Marlins,3,1
2016-08-20,San Diego Padres,Arizona D'Backs,2,1
2016-08-20,Seattle Mariners,Milwaukee Brewers,2,8
2016-08-20,San Francisco Giants,New York Mets,9,5
2016-08-20,Tampa Bay Rays,Texas Rangers,2,8
2016-08-21,Los Angeles Angels,New York Yankees,0,2
2016-08-21,Atlanta Braves,Washington Nationals,6,7
2016-08-21,Baltimore Orioles,Houston Astros,5,3
2016-08-21,Chicago White Sox,Oakland Athletics,2,4
2016-08-21,Cincinnati Reds,Los Angeles Dodgers,4,0
2016-08-21,Cleveland Indians,Toronto Blue Jays,2,3
2016-08-21,Colorado Rockies,Chicago Cubs,4,1
2016-08-21,Detroit Tigers,Boston Red Sox,5,0
2016-08-21,Kansas City Royals,Minnesota Twins,1,2
2016-08-21,Philadelphia Phillies,St. Louis Cardinals,9,0
2016-08-21,Pittsburgh Pirates,Miami Marlins,3,2
2016-08-21,San Diego Padres,Arizona D'Backs,1,9
2016-08-21,Seattle Mariners,Milwaukee Brewers,7,6
2016-08-21,San Francisco Giants,New York Mets,2,0
2016-08-21,Tampa Bay Rays,Texas Rangers,4,8
2016-08-22,Arizona D'Backs,Atlanta Braves,8,9
2016-08-22,Baltimore Orioles,Washington Nationals,3,4
2016-08-22,Cincinnati Reds,Los Angeles Dodgers,1,9
2016-08-22,Milwaukee Brewers,Colorado Rockies,2,4
2016-08-22,Oakland Athletics,Cleveland Indians,1,0
2016-08-22,Pittsburgh Pirates,Houston Astros,3,1
2016-08-22,San Diego Padres,Chicago Cubs,5,1
2016-08-22,Seattle Mariners,New York Yankees,5,7
2016-08-22,Tampa Bay Rays,Boston Red Sox,6,2
2016-08-23,Arizona D'Backs,Atlanta Braves,7,4
2016-08-23,Baltimore Orioles,Washington Nationals,1,8
2016-08-23,Chicago White Sox,Philadelphia Phillies,1,9
2016-08-23,Cincinnati Reds,Texas Rangers,0,3
2016-08-23,Los Angeles Dodgers,San Francisco Giants,5,9
2016-08-23,Miami Marlins,Kansas City Royals,1,0
2016-08-23,Milwaukee Brewers,Colorado Rockies,4,6
2016-08-23,Minnesota Twins,Detroit Tigers,8,3
2016-08-23,Oakland Athletics,Cleveland Indians,1,9
2016-08-23,Pittsburgh Pirates,Houston Astros,1,7
