last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_total_pa,p_ab,p_total_hits,p_single,p_double,p_triple,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_save,p_blown_save,p_win,p_loss,p_era,p_opp_batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,
Olson, Tyler,621397,2019,30,39,30.2,140,121,34,21,10,0,3,28,16,20.0,11.4,.281,.438,.371,.809,15,15,0,1,1,1,4.40,.281,.227,.366,.343,.304,.328,.139,84.9,11.8,30.9,5.3,543,42.4,87,2273,,,,13.1,81.5,1819,42,73.5,2775,2.6,87.7,2249,,,,,,,,,,
Young, Alex,622065,2019,26,17,83.1,349,315,72,42,16,0,14,71,27,20.3,7.7,.229,.413,.295,.708,33,40,0,0,7,5,3.56,.229,.249,.433,.298,.319,.316,.185,87.8,10.2,27.9,7.3,1324,14.3,89.8,2219,,,,20.1,84.5,1794,20.1,81.5,2379,22.2,89,2208,23.3,84.9,2347,,,,,,,
Wood, Alex,622072,2019,28,7,35.2,153,141,41,21,9,0,11,30,9,19.6,5.9,.291,.589,.333,.922,23,25,0,0,1,3,5.80,.291,.306,.540,.381,.374,.352,.234,89,13.4,42.5,9.7,586,2,90,2016,,,,25.1,83.6,1658,24.6,81.4,2161,48.3,89.9,2112,,,,,,,,,,
Almonte, Yency,622075,2019,25,28,34.0,157,140,39,20,12,0,7,29,14,18.5,8.9,.279,.514,.344,.858,21,22,0,2,0,1,5.56,.279,.290,.551,.359,.380,.356,.261,90.7,17.3,37.2,12.4,608,56.6,95.7,2172,40,85.8,2408,3,89,1767,,,,0.5,94.7,2159,,,,,,,,,,
Zimmer, Kyle,622092,2019,28,15,18.1,102,83,28,17,8,1,2,18,19,17.6,18.6,.337,.530,.461,.991,22,22,0,0,0,1,10.80,.337,.291,.473,.422,.391,.423,.182,85.4,11.5,44.6,7.7,435,61.1,96.4,2282,25.7,85.2,2179,4.8,87.9,1439,8.3,79.7,2016,,,,,,,,,,,,,
Reyes Jr., Gerardo,622103,2019,26,27,26.0,117,100,24,15,4,2,3,38,11,32.5,9.4,.240,.410,.325,.735,22,22,0,1,4,0,7.62,.240,.184,.331,.312,.268,.281,.147,89.3,16.3,30.8,7.7,458,59.6,96.9,2417,24.2,88.1,2437,,,,1.7,82.3,2226,14.4,97,2342,,,,,,,,,,
Staumont, Josh,622251,2019,26,16,19.1,88,77,21,11,6,0,4,15,10,17.0,11.4,.273,.506,.364,.870,8,13,0,1,0,0,3.72,.273,.284,.524,.363,.376,.374,.240,92.2,15.6,40.3,8.1,326,59.5,95.9,2239,,,,,,,30.4,81.6,2728,6.1,95.7,2250,4,94.9,2245,,,,,,,
Tate, Dillon,622253,2019,25,16,21.0,93,78,18,12,3,0,3,20,9,21.5,9.7,.231,.385,.344,.729,15,15,0,0,0,2,6.43,.231,.225,.347,.319,.310,.339,.122,86,2.5,28.8,3.4,350,4.6,93.6,2121,12.3,85.1,2502,19.4,84.7,1793,12,84,2507,51.7,93.6,2097,,,,,,,,,,
Wingenter, Trey,622259,2019,25,51,51.0,218,182,34,20,8,1,5,72,28,33.0,12.8,.187,.324,.307,.632,32,32,1,3,1,3,5.65,.187,.196,.331,.282,.299,.322,.135,88.7,15.2,37.2,7.1,906,55,95.9,2151,45,85.8,2180,,,,,,,,,,,,,,,,,,,
Rodriguez, Jefry,622446,2019,26,10,46.2,203,178,48,30,13,0,5,33,21,16.3,10.3,.270,.427,.340,.767,24,26,0,0,1,5,4.63,.270,.260,.449,.325,.337,.339,.189,90.7,10,31.5,6.7,784,28.4,93.9,2370,,,,8.9,87.8,1739,23,80.9,2412,39.7,93.4,2246,,,,,,,,,,
Castillo, Luis,622491,2019,27,32,190.2,781,688,139,87,29,1,22,226,79,28.9,10.1,.202,.343,.288,.631,72,76,0,0,15,8,3.40,.202,.201,.322,.277,.273,.289,.121,87.2,5.8,26.2,5.1,3069,29.7,96.4,2170,16.9,85.9,2330,32.5,87.2,1972,,,,20.8,96.5,2073,,,,,,,,,,
Alcantara, Victor,622505,2019,26,46,42.2,182,163,45,27,10,0,8,24,15,13.2,8.2,.276,.485,.341,.825,23,25,0,3,3,2,4.85,.276,.291,.530,.348,.378,.358,.239,90.8,7.8,27,9.2,684,,,,9.2,89.2,2024,15.6,88.2,1712,,,,75.1,93.4,2085,,,,,,,,,,
Dominguez, Seranthony,622554,2019,25,27,24.2,110,96,24,18,2,1,3,29,12,26.4,10.9,.250,.385,.336,.722,11,13,0,2,3,0,4.01,.250,.207,.308,.316,.276,.302,.101,86.3,5.6,32.4,4.4,464,59.7,97.3,2380,34.1,89.6,2438,4.7,91.1,1669,,,,1.5,98.3,2393,,,,,,,,,,
Senzatela, Antonio,622608,2019,24,25,124.2,582,514,161,102,38,2,19,76,57,13.1,9.8,.313,.506,.381,.887,93,99,0,0,11,11,6.71,.313,.296,.477,.373,.362,.369,.182,90.1,4.9,31.7,6.1,2237,61.9,93.7,2102,19.5,84.4,2136,8,87,2059,10.6,78.8,2214,,,,,,,,,,,,,
Hernandez, Elieser,622694,2019,24,21,82.1,353,314,76,36,18,2,20,85,26,24.1,7.4,.242,.503,.314,.818,46,49,0,0,3,5,5.03,.242,.210,.390,.340,.293,.288,.180,86.9,21.6,30.5,9,1442,53.6,90.6,2247,33.3,78.5,2245,11.4,82.2,1886,,,,1.7,89.3,2174,,,,,,,,,,
Cordero, Jimmy,622772,2019,28,31,37.1,146,132,26,16,5,1,4,31,11,21.2,7.5,.197,.341,.274,.615,12,12,0,0,1,1,2.89,.197,.227,.339,.267,.284,.301,.112,85.4,3,26.7,4,542,18.8,97.4,2146,7.2,83.5,2234,17.3,88.5,1657,,,,49.8,97.4,2128,6.8,90.7,2072,,,,,,,
Tinoco, Jesus,622786,2019,24,24,36.0,161,137,36,15,8,1,12,28,22,17.4,13.7,.263,.599,.366,.965,19,23,1,0,0,3,4.75,.263,.276,.569,.392,.396,.379,.292,88.7,10,34.5,11.8,616,4.7,94.5,2235,27.9,87.7,2355,,,,8.6,82.5,2525,57.8,93.8,2237,,,,1,87.4,1686,,,,
Payano, Pedro,622797,2019,25,6,22.0,103,86,26,16,7,0,3,17,15,16.5,14.6,.302,.488,.408,.896,14,17,0,0,1,2,5.73,.302,.316,.489,.386,.395,.423,.173,87.4,10.7,38.6,7.1,417,,,,20.6,84.2,2543,19.7,83.2,1974,13.2,79.8,2763,46.5,93.5,2366,,,,,,,,,,
Romero, Fernando,622864,2019,25,15,14.0,72,60,19,13,4,0,2,18,11,25.0,15.3,.317,.483,.431,.914,11,12,0,0,0,1,7.07,.317,.266,.430,.390,.355,.388,.164,87.5,8.3,31,4.8,278,6.1,96.6,2241,28.8,87.3,2537,5.8,92.2,1772,,,,59.4,97.1,2210,,,,,,,,,,
Sewald, Paul,623149,2019,29,17,19.2,80,74,18,9,6,0,3,22,3,27.5,3.8,.243,.446,.275,.721,10,10,1,0,1,1,4.58,.243,.229,.400,.300,.291,.272,.170,89.4,28.3,40.7,7.4,330,69.7,91,2331,25.8,81.8,2241,3.6,81.2,1634,,,,0.9,88.4,2093,,,,,,,,,,
Flexen, Chris,623167,2019,25,9,13.2,70,56,15,8,6,0,1,10,13,14.3,18.6,.268,.429,.400,.829,10,12,0,0,0,3,6.59,.268,.249,.404,.350,.349,.390,.155,89.6,18.9,38.3,6.4,274,58.4,94.3,2144,,,,12,83.6,1275,3.6,78.1,2766,4,92.5,1980,21.9,88.1,2460,,,,,,,
Oberg, Scott,623184,2019,29,49,56.0,223,199,39,31,2,1,5,58,23,26.0,10.3,.196,.291,.278,.569,14,18,5,3,6,1,2.25,.196,.225,.367,.249,.293,.306,.142,88.2,8,28.9,6.3,898,52,94.3,2225,43.3,85.6,2537,4.5,87.9,1952,,,,0.2,95.2,2261,,,,,,,,,,
Hader, Josh,623352,2019,25,61,75.2,289,265,41,17,7,2,15,138,20,47.8,6.9,.155,.366,.225,.591,22,24,37,7,3,5,2.62,.155,.149,.312,.247,.228,.220,.163,90.8,26,33.1,12.6,1139,82.9,95.5,2123,15.5,81.9,2618,0.1,86.8,1590,,,,1.5,94.4,1771,,,,,,,,,,
Wieck, Brad,623364,2019,28,44,34.2,148,131,28,13,7,0,8,49,13,33.1,8.8,.214,.450,.297,.748,22,23,0,2,2,2,5.71,.214,.221,.440,.314,.318,.304,.220,90.7,18.4,42.2,8.4,632,77.4,93.7,2227,11.1,84.1,2058,,,,11.6,74.8,2331,,,,,,,,,,,,,
Pannone, Thomas,623381,2019,25,37,73.0,325,286,73,43,16,1,13,69,31,21.2,9.5,.255,.455,.338,.793,50,51,0,0,3,6,6.16,.255,.250,.466,.335,.344,.337,.216,89.5,18.6,37.4,9.6,1255,61.7,89.7,2219,0.1,84.4,2348,15.4,83.4,1881,22.9,73.7,2447,,,,,,,,,,,,,
Dull, Ryan,623430,2019,30,11,12.2,71,61,25,10,10,0,5,15,7,21.1,9.9,.410,.820,.465,1.284,18,19,0,0,0,0,12.79,.410,.297,.633,.516,.412,.374,.336,90.9,18,52.1,14.6,252,53.2,91.1,2437,40.9,82.8,2622,6,85.8,1397,,,,,,,,,,,,,,,,
Anderson, Nick,623433,2019,29,68,65.0,264,243,52,31,11,2,8,110,18,41.7,6.8,.214,.374,.273,.647,24,24,1,4,5,4,3.32,.214,.196,.357,.269,.259,.257,.161,90.2,19.6,41,9,1101,59.9,96,2326,,,,,,,40.1,83.1,2094,,,,,,,,,,,,,
Phillips, Evan,623465,2019,25,25,28.0,140,112,32,22,8,0,2,40,20,28.6,14.3,.286,.411,.407,.818,20,20,0,0,0,1,6.43,.286,.256,.393,.361,.347,.388,.137,91.7,13.1,38.7,5.3,567,62.8,94.1,2244,26.1,84.6,2472,7.6,85.6,1299,,,,3.5,94.1,2223,,,,,,,,,,
Newberry, Jake,623470,2019,25,27,31.0,137,117,29,13,8,1,7,29,16,21.2,11.7,.248,.513,.336,.849,13,13,0,1,1,0,3.77,.248,.239,.514,.345,.347,.331,.275,91,17.9,35.2,9.9,525,51.2,93.8,2375,45.3,83.6,2436,2.7,87,1649,,,,0.8,90.8,2410,,,,,,,,,,
Wang, Wei-Chung,623913,2019,27,25,31.0,129,113,27,18,5,0,4,18,14,14.0,10.9,.239,.389,.326,.715,13,13,0,0,3,0,3.77,.239,.236,.422,.309,.321,.323,.186,87.1,17.1,34.4,5.2,519,43.7,91.4,2163,37.6,84.1,2343,16,83.6,1922,2.5,76.8,2494,0.2,90.6,2151,,,,,,,,,,
Suarez, Ranger,624133,2019,24,37,48.2,205,187,52,38,8,0,6,42,12,20.5,5.9,.278,.417,.317,.734,17,18,0,3,6,1,3.14,.278,.265,.406,.310,.305,.309,.141,87.3,5.2,33.3,5.3,763,23.5,92.9,2029,20.2,84.9,2122,27,84.9,1616,,,,29.4,91.9,1955,,,,,,,,,,
Lopez, Reynaldo,625643,2019,25,33,184.0,809,729,203,121,44,3,35,169,65,20.9,8.0,.278,.491,.341,.832,110,119,0,0,10,15,5.38,.278,.259,.469,.349,.338,.326,.210,88.8,17.7,36.3,7.6,3161,58.5,95.4,2137,18.3,84.4,2120,14.8,84,1610,8.4,78.3,2084,,,,,,,,,,,,,
Thorpe, Lewis,626929,2019,24,12,27.2,124,113,38,23,11,1,3,31,10,25.0,8.1,.336,.531,.387,.918,19,19,0,2,3,2,6.18,.336,.269,.439,.384,.327,.326,.170,89,16.3,42.2,6,492,51.2,91.2,2017,19.7,84.6,1956,11.6,84.2,1629,17.5,73.6,2440,,,,,,,,,,,,,
Maeda, Kenta,628317,2019,31,37,153.2,624,564,114,67,21,4,22,169,51,27.1,8.2,.202,.371,.271,.641,69,70,3,0,10,8,4.04,.202,.214,.342,.274,.273,.283,.128,86.1,15.4,35.5,5.5,2433,34.2,92.1,2287,31.1,83.5,2525,,,,7.3,77.1,2685,3.2,91.9,2228,,,,24.1,84.9,1522,,,,
Despaigne, Odrisamer,628333,2019,32,3,13.1,68,59,24,15,5,1,3,7,7,10.3,10.3,.407,.678,.471,1.149,14,14,0,0,0,2,9.45,.407,.364,.590,.471,.434,.437,.226,89,17.1,47.2,5.7,254,39,93,2125,11.8,80.9,2770,6.3,78.5,1405,7.5,73.1,2773,15.4,92.5,2159,20.1,86.9,2596,,,,,,,
Iglesias, Raisel,628452,2019,29,68,67.0,279,254,61,35,13,1,12,89,21,31.9,7.5,.240,.441,.301,.742,31,31,34,6,3,12,4.16,.240,.217,.371,.307,.280,.283,.154,87.9,20.3,38.3,7.8,1115,37.3,95.4,2364,30.7,84.1,2531,21.4,89,1872,,,,10.6,95.4,2428,,,,,,,,,,
Urias, Julio,628711,2019,23,37,79.2,326,293,59,40,9,3,7,85,27,26.1,8.3,.201,.324,.279,.603,22,28,4,1,4,3,2.49,.201,.207,.323,.263,.269,.285,.116,84.1,17.6,34.9,4.3,1344,57.8,95.1,2511,17.3,84.6,2584,16.3,82.2,1855,6.1,77.3,2746,2.5,95.5,2458,,,,,,,,,,
Chirinos, Yonny,630023,2019,26,26,133.1,530,498,112,67,19,3,23,114,28,21.5,5.3,.225,.414,.270,.683,57,61,0,0,9,5,3.85,.225,.255,.450,.286,.318,.300,.195,88.1,11.5,34.8,8.8,1985,1,94.3,2399,21.6,87.5,2335,,,,,,,55,93.9,2278,,,,22.5,85.9,1294,,,,
Manaea, Sean,640455,2019,27,5,29.2,109,100,16,10,3,0,3,30,7,27.5,6.4,.160,.280,.229,.509,4,4,0,0,4,0,1.21,.160,.215,.366,.224,.281,.280,.151,89.5,16.9,32.9,4.3,444,,,,21.6,79.3,2000,14.9,81,1458,,,,63.5,89.8,1956,,,,,,,,,,
Stewart, Kohl,640464,2019,25,9,25.1,109,100,29,17,6,1,5,10,8,9.2,7.3,.290,.520,.349,.869,18,18,0,0,2,2,6.39,.290,.313,.530,.363,.381,.369,.217,90.5,7.4,35.6,7.8,384,6.5,91.9,2152,32,84.7,2428,3.9,85,1824,9.1,77.3,2726,48.4,91.6,2131,,,,,,,,,,
Alzolay, Adbert,640470,2019,24,4,12.1,60,50,13,7,2,0,4,13,9,21.7,15.0,.260,.540,.383,.923,10,10,0,0,1,1,7.30,.260,.266,.475,.387,.373,.388,.208,87.9,18.1,32.4,10.8,225,57.3,94.3,2405,21.8,79.7,3013,20.9,85.2,1902,,,,,,,,,,,,,,,,
Parsons, Wes,641149,2019,27,32,34.2,157,121,32,22,3,1,6,26,29,16.6,18.5,.264,.455,.401,.856,21,24,0,0,1,2,5.45,.264,.302,.511,.366,.404,.437,.209,89.2,8.5,35,7,637,20.9,94.1,2318,36.3,85.9,2512,6.3,87.1,1595,,,,36.6,93.3,2316,,,,,,,,,,
Lopez, Pablo,641154,2019,23,21,111.1,469,425,111,70,23,3,15,95,27,20.3,5.8,.261,.435,.318,.753,63,64,0,0,5,8,5.09,.261,.254,.431,.318,.318,.314,.177,88.2,10,32.4,7.4,1793,42.4,93.6,2069,,,,22,85.7,1943,19.2,79.8,2358,16.3,93.3,2036,,,,,,,,,,
Alexander, Tyler,641302,2019,25,13,53.2,235,225,68,43,13,3,9,47,7,20.0,3.0,.302,.507,.328,.834,29,30,0,0,1,4,4.86,.302,.270,.477,.347,.324,.297,.208,90.4,17.2,32.4,7.3,918,31.2,90.6,2257,15.6,85.3,2441,11.4,84.1,1584,18.4,81,2427,23.4,90.7,2227,,,,,,,,,,
Anderson, Shaun,641312,2019,25,28,96.0,427,382,111,73,24,1,13,70,38,16.4,8.9,.291,.461,.354,.814,58,61,2,0,3,5,5.44,.291,.290,.476,.345,.355,.357,.185,88.5,12.1,39.7,7.3,1584,45.2,92.6,2495,30.6,86.3,2649,8,86,1454,3,77.8,2519,13.3,92.4,2335,,,,,,,,,,
Bashlor, Tyler,641341,2019,26,24,22.0,103,84,21,13,2,0,6,20,17,19.4,16.5,.250,.488,.369,.857,17,17,0,3,0,3,6.95,.250,.218,.430,.357,.330,.346,.212,89.9,20.5,30.3,7.6,382,62.3,95.6,2567,25.7,82.2,2456,12,87.4,1716,,,,,,,,,,,,,,,,
Cortes Jr., Nestor,641482,2019,25,33,66.2,298,267,75,50,9,0,16,69,28,23.2,9.4,.281,.494,.349,.843,42,44,0,1,5,1,5.67,.281,.256,.449,.353,.330,.327,.193,87.8,18.3,36.5,8,1242,45.8,89.6,2186,34.2,81.5,2319,12.6,82.4,1457,1.4,71.2,2172,6,88.9,2164,,,,,,,,,,
Duplantier, Jon,641541,2019,25,15,36.2,163,138,39,28,9,0,2,34,18,20.9,11.0,.283,.391,.380,.772,18,18,1,0,1,1,4.42,.283,.258,.437,.339,.345,.362,.179,89.3,13.1,32.1,7.5,676,28.3,92.2,2198,19.7,83.4,2213,9,84,1628,12.4,78.4,2385,30.6,92,2129,,,,,,,,,,
Fillmyer, Heath,641571,2019,25,12,22.1,109,91,28,17,5,0,6,15,12,13.8,11.0,.308,.560,.394,.955,20,20,0,0,0,2,8.06,.308,.286,.507,.394,.381,.385,.221,92.4,14.4,34.2,10.1,453,45.3,92.2,2219,19.2,83.3,2371,17.7,86.2,1712,9.7,78.6,2478,8.2,90.3,2098,,,,,,,,,,
Gott, Trevor,641627,2019,27,50,52.2,214,190,41,31,5,1,4,57,17,26.6,7.9,.216,.316,.280,.596,26,26,1,1,7,0,4.44,.216,.228,.399,.261,.300,.295,.172,88.6,13.3,32.6,6.5,913,67.7,94.7,2156,1.4,86,2314,3.8,89,1333,17.7,81.1,2099,9.3,94.4,2036,,,,,,,,,,
Hudson, Dakota,641712,2019,25,33,174.2,757,652,160,101,37,0,22,136,86,18.0,11.4,.245,.403,.337,.740,65,80,1,0,16,7,3.35,.245,.263,.422,.316,.337,.355,.159,89.3,3.3,31.4,6.8,2845,13,93.9,2168,25.7,87.4,2430,2.6,88.1,1459,10,81.9,2196,48.7,93.5,2134,,,,,,,,,,
Jimenez, Joe,641729,2019,24,66,59.2,257,230,56,30,12,1,13,82,23,31.9,8.9,.243,.474,.323,.797,29,33,9,5,4,7,4.37,.243,.210,.404,.334,.298,.293,.194,88.5,21.9,32.4,10.8,1056,68.4,95.1,2528,25.9,86.2,2329,5.8,89.2,2091,,,,,,,,,,,,,,,,
Kay, Anthony,641743,2019,24,3,14.0,63,57,15,12,3,0,0,13,5,20.6,7.9,.263,.316,.333,.649,9,9,0,0,1,0,5.79,.263,.272,.399,.290,.325,.342,.127,85.6,6.8,29.5,4.5,258,61.6,93.4,2301,,,,19.4,85.4,1920,19,78.1,2453,,,,,,,,,,,,,
Keller, Brad,641745,2019,24,28,165.1,709,624,154,110,19,10,15,122,70,17.2,9.9,.247,.381,.329,.710,77,80,0,0,7,14,4.19,.247,.257,.414,.307,.328,.340,.157,89.1,9.1,32.5,5.9,2711,41.8,93.7,2295,31.4,84.9,2510,1.4,87.8,1698,,,,25.4,92.8,2100,,,,,,,,,,
Kinley, Tyler,641755,2019,28,52,49.1,221,181,43,31,7,0,5,46,36,20.8,16.3,.238,.359,.362,.721,20,20,1,2,3,1,3.65,.238,.232,.360,.318,.320,.360,.128,87.9,14.8,36.2,4.3,844,41.5,94.9,2269,58.5,88.5,2538,,,,,,,,,,,,,,,,,,,
Lauer, Eric,641778,2019,24,30,149.2,651,589,158,103,35,0,20,138,51,21.2,7.8,.268,.430,.329,.758,74,82,0,0,8,10,4.45,.268,.245,.417,.321,.311,.310,.171,89.8,14.1,32.4,5.9,2507,53.1,91.8,2216,8,81.6,2393,3.6,85.9,1982,13.7,77.1,2376,,,,21.5,88,2211,,,,,,,
Littell, Zack,641793,2019,24,29,37.0,146,136,34,21,8,1,4,32,9,21.9,6.2,.250,.412,.295,.706,11,12,0,1,6,0,2.68,.250,.290,.487,.297,.348,.334,.197,91.2,14.1,39,9.5,549,49,93.8,2077,47.5,86.4,2143,2.2,87.9,1898,1.1,74.1,1959,0.2,91.6,1905,,,,,,,,,,
Mahle, Tyler,641816,2019,25,25,129.2,556,512,136,89,21,1,25,129,34,23.2,6.1,.266,.457,.317,.774,74,82,0,0,3,12,5.14,.266,.241,.413,.326,.304,.295,.172,89.2,9.4,32.3,7.5,2138,57.1,93.3,2161,,,,,,,23.2,80.4,2595,,,,7,90,2457,12.8,87,1632,,,,
Mayza, Tim,641835,2019,27,68,51.1,227,196,45,24,13,0,8,55,27,24.2,11.9,.230,.418,.322,.740,28,29,0,1,1,3,4.91,.230,.255,.437,.313,.335,.347,.182,87.1,6.4,34,6.9,921,19.2,93.6,2114,35.6,87.8,2186,,,,,,,45.2,94.3,2144,,,,,,,,,,
McCarthy, Kevin,641838,2019,27,56,60.1,268,239,68,45,19,0,4,38,21,14.2,7.8,.285,.414,.340,.754,30,31,1,4,4,2,4.48,.285,.250,.374,.315,.293,.314,.125,89.8,3.8,23.7,3.9,853,3.2,90.8,2021,11.4,88,2197,22.5,83.9,1808,6,82.9,2123,57,91.1,1991,,,,,,,,,,
McGowin, Kyle,641851,2019,28,7,16.0,76,69,22,13,2,0,7,18,4,23.7,5.3,.319,.652,.355,1.007,18,19,1,0,0,0,10.13,.319,.311,.608,.411,.397,.353,.297,92,10.8,37.7,11.3,298,3.7,91.5,2359,43.6,83.5,2809,3.4,84.4,2189,1.3,79.9,2660,48,90.9,2396,,,,,,,,,,
McKay, David,641853,2019,24,25,26.1,115,97,20,12,5,0,3,34,17,29.6,14.8,.206,.351,.330,.681,16,17,0,1,0,0,5.47,.206,.217,.350,.299,.306,.339,.134,89.5,21.2,38.1,9.5,473,,,,,,,,,,37.8,78.4,3054,62.2,93.9,2386,,,,,,,,,,
Pagan, Emilio,641941,2019,28,66,70.0,267,252,45,24,6,3,12,96,13,36.0,4.9,.179,.369,.221,.590,18,19,20,9,4,2,2.31,.179,.174,.306,.244,.223,.217,.132,89.3,21.4,28.7,6.4,1075,61.5,95.5,2483,,,,,,,2,80.3,2544,,,,36.5,87.5,2351,,,,,,,
Rogers, Josh,642028,2019,25,5,14.1,69,59,18,8,3,0,7,5,6,7.2,8.7,.305,.712,.406,1.118,14,14,0,0,0,1,8.79,.305,.305,.710,.452,.454,.406,.405,92.6,22.2,37,14.8,263,52.5,89.4,2170,22.4,80.3,2239,23.2,82.2,1507,1.1,77.8,2444,0.8,87.8,2155,,,,,,,,,,
Shawaryn, Mike,642067,2019,25,14,20.1,103,84,26,15,6,0,5,29,13,28.2,12.6,.310,.560,.427,.987,22,22,0,1,0,0,9.74,.310,.203,.434,.414,.335,.341,.231,90.7,22.2,33.9,12.5,408,44.1,91.8,2002,33.6,84.9,2554,1,84.5,1982,19.4,81,2536,2,87.1,2025,,,,,,,,,,
Sherfy, James,642073,2019,28,17,18.1,83,76,23,15,4,0,4,22,5,26.5,6.0,.303,.513,.349,.863,12,12,1,1,1,0,5.89,.303,.269,.455,.364,.332,.323,.185,86.7,23.5,40,7.3,316,36.4,92.5,2161,50.9,78.2,2574,6.3,85.5,1803,6.3,71.2,2314,,,,,,,,,,,,,
Sparkman, Glenn,642098,2019,27,31,136.0,606,554,164,98,34,2,30,81,41,13.4,6.8,.296,.527,.348,.875,91,96,0,0,4,11,6.02,.296,.279,.499,.364,.352,.335,.220,90.8,14.1,38.3,7.5,2182,60.3,93.4,2252,10,82.3,2411,13,85.7,2038,16.6,79,2474,,,,0,86.4,2071,,,,,,,
Trivino, Lou,642152,2019,28,61,60.0,269,230,61,38,16,0,7,57,31,21.2,11.5,.265,.426,.353,.779,35,40,0,5,4,6,5.25,.265,.217,.339,.333,.292,.316,.122,86.9,16,27.5,3.9,953,33.9,97.4,2111,,,,4.8,87.6,1765,10.5,79.8,2505,17.3,97.4,2146,33.5,92.1,2434,,,,,,,
Williams, Devin,642207,2019,25,13,13.2,67,58,18,11,5,0,2,14,6,20.9,9.0,.310,.500,.388,.888,6,9,0,0,0,0,3.95,.310,.206,.352,.380,.291,.302,.147,86.4,12.4,22.2,6.7,254,22,96.4,2341,0.8,87.8,1954,36.6,85.9,2625,,,,39,96,2384,1.6,91.5,2252,,,,,,,
Yacabonis, Jimmy,642231,2019,27,29,41.0,193,166,51,29,12,1,9,33,24,17.1,12.4,.307,.554,.399,.953,31,32,0,0,1,2,6.80,.307,.289,.549,.398,.394,.383,.261,90.7,15.6,38.1,11.2,770,6.5,93.2,2350,29.7,82.7,2565,6.6,87,1677,,,,57.1,93.7,2272,,,,,,,,,,
Yarbrough, Ryan,642232,2019,28,28,141.2,563,530,121,72,31,3,15,117,20,20.8,3.6,.228,.383,.266,.649,65,69,0,1,11,6,4.13,.228,.247,.386,.273,.288,.286,.138,84.9,15.2,35.3,7,2057,0.1,86.1,2100,,,,25.6,79.5,2123,13.5,72.8,2405,24.1,88.1,1987,36.7,84.1,2176,,,,,,,
Yardley, Eric,642233,2019,29,10,11.2,52,46,12,10,1,0,1,7,3,13.5,5.8,.261,.348,.308,.656,3,5,0,0,0,1,2.31,.261,.226,.319,.293,.273,.288,.093,89.7,-0.7,17.1,4.9,181,0.6,86.3,1999,,,,,,,32.6,72.1,2850,66.9,86.1,2004,,,,,,,,,,
Soto, Gregory,642397,2019,24,33,57.2,276,240,74,49,14,2,9,45,33,16.3,12.0,.308,.496,.388,.884,37,39,0,1,0,5,5.77,.308,.269,.452,.372,.348,.356,.183,90.8,7.7,28.3,9.1,1040,6.3,96,2322,23.9,85,2330,6.3,88.3,2033,,,,63.4,95.4,2346,,,,,,,,,,
Loaisiga, Jonathan,642528,2019,25,15,31.2,139,118,31,18,7,0,6,37,16,26.6,11.5,.263,.475,.345,.820,16,16,0,1,2,2,4.55,.263,.239,.412,.342,.323,.333,.172,89.3,13.7,35.3,4.7,591,47.7,96.8,2422,,,,12.9,89.6,1699,30.8,84.2,2805,8.6,96.9,2352,,,,,,,,,,
Barria, Jaime,642545,2019,23,19,82.2,365,334,92,43,23,2,24,75,27,20.5,7.4,.275,.572,.332,.903,59,61,0,0,4,10,6.42,.275,.265,.517,.370,.353,.324,.252,89.9,18.6,41,10.7,1498,31.1,91.7,2248,47.1,83.9,2239,16.3,83.2,1478,,,,5.5,91.6,2215,,,,,,,,,,
Hernandez, Jonathan,642546,2019,23,9,16.2,78,64,14,10,1,0,3,19,13,24.4,16.7,.219,.375,.346,.721,8,10,0,0,2,1,4.32,.219,.241,.402,.317,.336,.364,.161,86.2,6.1,37,6.5,332,2.4,96,2130,35.5,88.5,2350,16,89.7,2337,,,,46.1,96.9,2137,,,,,,,,,,
Peralta, Freddy,642547,2019,23,39,85.0,382,339,87,51,19,2,15,115,37,30.1,9.7,.257,.457,.330,.787,50,58,1,1,7,3,5.29,.257,.222,.411,.333,.305,.302,.189,90.1,18.7,36.8,9.6,1599,77.7,93.6,2454,,,,1.8,89.9,1966,20.5,77.2,2424,,,,,,,,,,,,,
Jurado, Ariel,642558,2019,23,32,122.1,541,487,148,87,35,5,21,81,36,15.0,6.7,.304,.526,.348,.873,79,94,0,0,7,11,5.81,.304,.293,.521,.362,.367,.346,.227,90,9.6,34.8,10,2045,22.9,93.1,2031,15,85.3,2124,11.8,85.3,1945,8.9,80.3,2267,41.3,92,1770,,,,,,,,,,
