last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_total_pa,p_ab,p_total_hits,p_single,p_double,p_triple,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_save,p_blown_save,p_win,p_loss,p_era,p_opp_batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,
Tropeano, Nick,607374,2019,29,3,13.2,66,57,18,10,2,0,6,10,6,15.2,9.1,.316,.667,.394,1.061,15,15,0,0,0,1,9.88,.316,.329,.619,.429,.424,.406,.290,90.1,21.4,39.6,12.5,273,40.7,90.8,2303,24.2,78.9,2303,20.1,81.6,2030,,,,5.9,90.1,2232,,,,9.2,82.8,1019,,,,
Mazza, Chris,607391,2019,30,9,16.1,74,64,21,11,9,1,0,11,5,14.9,6.8,.328,.500,.405,.905,10,10,0,0,1,1,5.51,.328,.322,.495,.383,.388,.405,.173,90.3,10.5,55.6,3.7,284,3.2,90.6,1777,20.1,82,2286,4.2,84.5,1427,,,,47.9,92,1836,24.6,88.3,2223,,,,,,,
Barraclough, Kyle,607457,2019,29,43,33.2,164,139,38,22,7,0,9,40,21,24.4,12.8,.273,.518,.372,.890,21,24,0,3,1,2,5.61,.273,.278,.562,.371,.392,.381,.283,90.7,13.1,39.6,13.9,708,65.5,93.4,2362,14.7,82.5,2403,12.3,87.4,1400,7.5,80.2,2412,,,,,,,,,,,,,
Bradford, Chasen,607473,2019,30,12,16.2,69,64,17,8,3,0,6,11,4,15.9,5.8,.266,.594,.304,.898,9,9,1,0,0,0,4.86,.266,.274,.504,.362,.341,.313,.229,89,9,20.4,9.3,248,34.7,90.6,2354,36.3,84.7,2664,11.7,84.4,2203,,,,17.3,89.9,2323,,,,,,,,,,
Bummer, Aaron,607481,2019,26,58,67.2,262,234,43,35,4,0,4,60,24,22.9,9.2,.184,.252,.267,.519,16,17,1,2,0,0,2.13,.184,.181,.255,.235,.239,.269,.073,89.4,-2.9,17.7,2.3,1010,8.3,95.1,2087,3.3,84.9,2245,0.5,89.9,1690,,,,68.1,95.6,2032,19.8,87.9,2231,,,,,,,
Freeland, Kyle,607536,2019,26,22,104.1,473,426,126,73,21,7,25,79,39,16.7,8.2,.296,.554,.353,.907,78,85,0,0,3,11,6.73,.296,.285,.502,.372,.359,.347,.216,89.5,10,34,8.8,1779,41.5,92,2291,30.4,86.7,2235,12.5,86.6,1519,6.1,81.2,2256,9.6,91.3,2269,,,,,,,,,,
Guilbeau, Taylor,607555,2019,26,17,12.1,51,47,10,7,0,1,2,7,3,13.7,5.9,.213,.383,.275,.657,5,6,0,2,0,0,3.65,.213,.265,.445,.272,.322,.323,.180,90.2,0.3,20,7.5,181,0.6,94.6,2218,7.2,86.4,1998,29.3,87.7,1465,,,,63,94.4,2196,,,,,,,,,,
Harper, Ryne,607560,2019,30,61,54.1,225,210,54,35,11,1,7,50,10,22.2,4.4,.257,.419,.289,.708,23,25,1,3,4,2,3.81,.257,.260,.446,.297,.315,.297,.186,89.2,14.8,38.7,6.7,728,45.3,89.3,1821,,,,1.1,76.1,1076,53.4,75.6,2353,,,,0.1,87.7,1757,,,,,,,
Howard, Sam,607572,2019,26,20,19.0,91,76,21,13,3,0,5,23,10,25.3,11.0,.276,.513,.374,.887,14,16,0,0,2,0,6.63,.276,.243,.392,.379,.331,.354,.149,87.9,16.2,32.7,5.5,383,44.1,92.6,2345,55.9,85.1,2339,,,,,,,,,,,,,,,,,,,
Lugo, Seth,607625,2019,30,61,80.0,314,291,56,37,10,1,8,104,16,33.1,5.1,.192,.316,.245,.561,24,28,6,5,7,4,2.70,.192,.182,.316,.237,.235,.237,.133,88.2,14.9,29.1,5.3,1254,34.5,94.5,2220,13.1,88,2435,6.5,87.9,1734,23.6,79.6,3286,22.3,94.1,2241,,,,,,,,,,
Means, John,607644,2019,26,31,155.0,637,590,138,79,33,3,23,121,38,19.0,6.0,.234,.417,.284,.701,62,68,0,0,12,11,3.60,.234,.236,.416,.295,.301,.288,.181,87.5,20,37.3,6.8,2680,50.8,91.7,2376,14.2,83.6,2324,28.8,80.9,2331,6.2,77,2239,,,,,,,,,,,,,
Estevez, Carlos,608032,2019,27,71,72.0,308,280,70,38,20,0,12,81,23,26.3,7.5,.250,.450,.305,.755,30,34,0,2,2,2,3.75,.250,.238,.420,.316,.304,.296,.182,90.4,15.5,34.5,9.9,1240,67.5,97.8,2248,27.2,87.7,2394,3.5,90.5,1717,,,,1.8,97.4,2215,,,,,,,,,,
Fried, Max,608331,2019,25,33,165.2,702,644,174,120,33,0,21,173,47,24.6,6.7,.270,.419,.322,.741,74,80,0,0,17,6,4.02,.270,.247,.381,.315,.297,.303,.135,89.2,4.3,32.6,4.6,2669,53.1,93.8,2077,15.9,83.7,2562,2.4,84.8,1514,24.7,74.5,2844,3.5,93.6,1988,0.3,93.5,2115,,,,,,,
Fulmer, Carson,608334,2019,26,20,27.1,133,107,26,18,3,0,5,25,20,18.8,15.0,.243,.411,.368,.780,19,22,0,0,1,2,6.26,.243,.228,.366,.338,.337,.365,.138,88.9,13.7,30.6,4.7,556,43.7,93.6,2376,,,,15.6,86.5,1505,8.1,82.8,2795,,,,32.6,87.9,2615,,,,,,,
Giolito, Lucas,608337,2019,25,29,176.2,705,640,131,75,28,4,24,228,57,32.3,8.1,.205,.373,.272,.646,67,69,0,0,14,9,3.41,.205,.214,.369,.275,.283,.283,.155,88.1,17.7,37.5,9.4,2814,55,94.2,2333,14.7,84.6,2036,26.2,81.7,1563,4.1,79.4,2512,,,,,,,,,,,,,
Irvin, Cole,608344,2019,25,16,41.2,181,162,45,30,8,0,7,31,13,17.1,7.2,.278,.457,.337,.794,27,28,1,0,2,1,5.83,.278,.299,.518,.334,.367,.359,.219,85.9,15.5,43.3,7.5,639,50.4,89.8,1984,20,84.2,1943,26.9,83.4,1643,2.7,76.4,1973,,,,,,,,,,,,,
Sims, Lucas,608371,2019,25,24,43.0,177,154,31,15,7,1,8,57,19,32.2,10.7,.201,.416,.294,.709,22,22,0,0,2,1,4.60,.201,.176,.340,.302,.270,.274,.164,88.7,25,37.4,6.1,751,50.1,93.5,2641,19,83.3,3004,5.6,86.5,1923,24.8,81.6,3120,0.5,95.3,2619,,,,,,,,,,
Wacha, Michael,608379,2019,28,29,126.2,562,493,143,91,25,1,26,104,55,18.5,9.8,.290,.503,.358,.861,67,71,0,0,6,7,4.76,.290,.277,.491,.360,.356,.351,.214,88.2,9.7,35.5,7.8,2199,49.5,93,2032,,,,23.8,85.5,1606,10.3,75.3,2066,0.9,93.2,1940,15.5,89.4,2097,,,,,,,
Marquez, German,608566,2019,24,28,174.0,721,671,174,114,27,4,29,175,35,24.3,4.9,.259,.441,.297,.738,92,96,0,0,12,5,4.76,.259,.269,.458,.311,.327,.310,.189,91.1,7.2,34.4,7.9,2616,35.4,95.7,2225,21.1,87.4,2371,3,87.8,1969,23.5,84.9,2693,17,94.7,2171,,,,,,,,,,
Chargois, JT,608638,2019,29,21,21.1,88,77,21,12,4,1,4,28,5,31.8,5.7,.273,.506,.318,.825,15,16,0,0,1,0,6.33,.273,.223,.395,.327,.276,.279,.171,89.1,6,34,9.4,291,9.3,95.5,2248,58.8,86.8,2297,,,,,,,32,96.2,2321,,,,,,,,,,
Duffey, Tyler,608648,2019,29,58,57.2,238,219,44,30,6,0,8,82,14,34.5,5.9,.201,.338,.256,.594,16,23,0,2,5,1,2.50,.201,.197,.348,.254,.258,.255,.151,89.4,14.5,36.7,7.9,978,51.4,93.9,2305,,,,0.5,86,1798,45.5,82.3,2521,2.6,93.9,2430,,,,,,,,,,
Leone, Dominic,608678,2019,28,40,40.2,180,156,39,21,9,0,9,46,22,25.6,12.2,.250,.481,.339,.820,25,28,1,1,1,0,5.53,.250,.259,.530,.342,.364,.349,.271,90.6,15.4,41.1,12.5,663,37.3,94.3,2279,14.5,83.7,2479,1.4,88.1,1757,,,,11,93.3,2235,35.9,89.7,2485,,,,,,,
Steckenrider, Drew,608716,2019,28,15,14.1,58,52,9,3,0,0,6,14,5,24.1,8.6,.173,.519,.259,.778,10,10,0,1,0,2,6.28,.173,.218,.605,.318,.368,.299,.387,89.1,23.4,31.6,21.1,237,62,94.7,2394,,,,,,,38,82.6,2048,,,,,,,,,,,,,
Stratton, Chris,608717,2019,29,35,76.0,344,310,93,57,21,2,13,69,33,20.1,9.6,.300,.506,.366,.873,47,50,0,0,1,3,5.57,.300,.249,.385,.366,.306,.320,.136,88.4,11.8,32.2,5,1245,56.5,92.2,2498,24.1,84.5,2922,5.9,84.8,2106,13,77.1,3107,0.2,91.7,2521,0.3,91,2453,,,,,,,
Suter, Brent,608718,2019,30,9,18.1,65,64,10,6,2,1,1,15,1,23.1,1.5,.156,.266,.169,.435,1,1,0,0,4,0,0.49,.156,.201,.305,.182,.223,.213,.104,82.9,11.4,34.7,4.1,233,74.2,87.5,2135,,,,18.5,80.5,1546,3.4,74,2263,3.9,87.6,2185,,,,,,,,,,
Voth, Austin,608723,2019,27,9,43.2,174,155,33,17,9,2,5,44,13,25.3,7.5,.213,.394,.282,.675,16,16,0,0,2,1,3.30,.213,.217,.367,.282,.281,.288,.150,87.7,19.5,29.8,4.4,684,60.4,92.7,2201,11.3,86.7,2503,8,86,1978,20.3,79.5,2827,,,,,,,,,,,,,
Castro, Miguel,612434,2019,25,65,73.1,319,272,63,41,12,0,10,71,41,22.3,12.9,.232,.386,.326,.712,38,42,2,3,1,3,4.66,.232,.214,.360,.303,.295,.315,.146,87.1,9.4,27.1,6.3,1232,,,,31.1,86.1,3029,20,90.6,2199,,,,48.9,97.3,2287,,,,,,,,,,
Chen, Wei-Yin,612672,2019,34,45,68.1,307,280,87,50,20,2,15,63,18,20.5,5.9,.311,.557,.358,.915,50,54,0,0,0,1,6.59,.311,.281,.498,.378,.351,.335,.218,89.5,13.4,39.4,8.6,1115,48.4,91.4,2136,23.3,85.8,2291,3.8,84,1369,21.5,74.1,2299,3,89.7,2058,,,,,,,,,,
Bird, Kyle,613317,2019,26,12,12.2,65,48,11,6,0,0,5,10,15,15.4,23.1,.229,.542,.431,.972,11,11,1,0,0,0,7.82,.229,.257,.538,.411,.420,.451,.282,89.1,14.2,31.6,13.2,240,24.6,91.3,2538,46.3,79.9,2601,,,,,,,29.2,91.2,2407,,,,,,,,,,
Adams, Austin,613534,2019,28,30,32.0,130,112,20,11,5,0,4,53,16,40.8,12.3,.179,.330,.285,.615,14,14,0,2,2,2,3.94,.179,.174,.310,.271,.265,.281,.135,89.6,10.3,28.3,8.3,530,32.8,95.1,2601,63.6,89.4,2829,,,,,,,3.6,95.4,2497,,,,,,,,,,
Ruiz, Jose,614179,2019,25,40,40.0,198,167,56,40,10,0,6,35,24,17.7,12.1,.335,.503,.414,.917,25,27,0,1,1,4,5.63,.335,.275,.454,.390,.351,.369,.179,88.3,18.6,33.8,7.4,753,61.6,96.4,2349,23.8,88.3,2261,13.3,86.9,1870,1.3,82.1,2043,,,,,,,,,,,,,
Quantrill, Cal,615698,2019,24,23,103.0,443,407,106,70,18,3,15,89,28,20.1,6.3,.260,.430,.309,.739,59,61,0,0,6,8,5.16,.260,.263,.437,.311,.321,.315,.173,87.9,11.9,33.7,7.1,1780,20.1,94.5,2135,21.5,86.4,2346,17.6,84.6,1429,3.9,79.5,2326,36.9,94.3,2060,,,,,,,,,,
