last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Cabrera, Miguel,408234,2020,37,204,231,51,37,4,0,10,51,24,22.1,10.4,.250,.417,.329,.746,35,1,57,1,28,0,1,,.285,.514,.323,.375,.363,.228,93.2,12.1,36.8,9.7,42.6,16.8,35.5,5.2,23.1,
Cruz Jr., Nelson,443558,2020,40,185,214,56,34,6,0,16,58,25,27.1,11.7,.303,.595,.397,.992,33,0,53,4,33,0,0,,.265,.535,.411,.377,.365,.270,91.6,9.4,39.4,15,47.2,16.5,30.7,5.5,25.2,
Peralta, David,444482,2020,33,203,218,61,45,10,1,5,45,13,20.6,6.0,.300,.433,.339,.773,34,1,54,0,19,1,0,,.257,.367,.333,.295,.301,.110,89.2,6.4,29.4,5,51.2,16.9,27.5,4.4,27.0,
Longoria, Evan,446334,2020,35,193,209,49,31,10,1,7,39,11,18.7,5.3,.254,.425,.297,.722,28,0,53,2,26,0,0,,.280,.521,.308,.362,.327,.241,91.7,10.7,29.9,11.5,50.3,23.6,23.6,2.5,26.6,
Cabrera, Asdrubal,452678,2020,35,190,213,46,26,9,3,8,40,19,18.8,8.9,.242,.447,.305,.753,31,0,52,0,23,0,0,,.242,.427,.319,.316,.306,.185,89.5,13.7,30.5,6.5,45.5,19.5,26.6,8.4,24.8,
Blackmon, Charlie,453568,2020,34,221,247,67,48,12,1,6,44,19,17.8,7.7,.303,.448,.356,.804,42,2,59,2,31,2,0,,.274,.419,.340,.328,.337,.145,86.9,13.5,38.5,4.9,38.5,21.4,34.1,6,26.8,
Solano, Donovan,456781,2020,33,190,203,62,43,15,1,3,39,10,19.2,4.9,.326,.463,.365,.828,29,0,54,2,22,0,0,,.276,.415,.357,.318,.318,.139,88.5,15.5,43.4,4.6,36.2,17.1,40.1,6.6,26.6,
McCutchen, Andrew,457705,2020,34,217,241,55,36,9,0,10,48,22,19.9,9.1,.253,.433,.324,.757,34,4,57,1,32,4,0,,.273,.479,.327,.355,.343,.206,89.7,18.2,36.5,8.2,35.3,25.9,29.4,9.4,27.4,
Votto, Joey,458015,2020,37,186,223,42,23,8,0,11,43,37,19.3,16.6,.226,.446,.354,.800,22,0,54,0,32,0,0,,.253,.478,.347,.369,.377,.225,87.4,15.4,36.4,9.1,39.9,32.9,25.9,1.4,25.2,
Santana, Carlos,467793,2020,34,206,255,41,26,7,0,8,43,47,16.9,18.4,.199,.350,.349,.699,30,0,60,1,34,0,0,,.250,.444,.316,.368,.390,.194,88,12.2,32.3,6.7,43.3,22.6,25,9.1,25.5,
Brantley Jr., Michael,488726,2020,33,170,187,51,31,15,0,5,28,17,15.0,9.1,.300,.476,.364,.840,22,2,46,0,24,1,1,,.260,.413,.362,.325,.327,.153,88.7,10.2,34.5,4.9,47.9,21.8,27.5,2.8,26.2,
Gurriel, Yuli,493329,2020,36,211,230,49,30,12,1,6,27,12,11.7,5.2,.232,.384,.274,.658,22,0,57,2,27,0,0,,.262,.404,.281,.315,.311,.142,89.3,13.9,34.4,3.7,38.1,21.7,32.8,7.4,27.3,
Escobar, Eduardo,500871,2020,31,203,222,43,29,7,3,4,41,15,18.5,6.8,.212,.335,.270,.605,20,1,54,2,22,1,0,,.261,.394,.257,.305,.316,.132,88.6,18.1,34.8,5.5,38.4,23.8,29.9,7.9,28.0,
Martinez, J.D.,502110,2020,33,211,237,45,22,16,0,7,59,22,24.9,9.3,.213,.389,.291,.680,27,1,54,2,22,0,1,,.228,.441,.290,.316,.305,.213,89.5,14.7,39.6,11,35.1,28.6,33.8,2.6,25.9,
Reddick, Josh,502210,2020,33,188,210,46,30,11,1,4,42,20,20.0,9.5,.245,.378,.314,.692,23,1,56,0,22,1,0,,.245,.358,.304,.301,.317,.113,85.9,19.1,34.7,4.8,37.4,18.4,32,12.9,26.2,
Goldschmidt, Paul,502671,2020,33,191,231,58,39,13,0,6,43,37,18.6,16.0,.304,.466,.416,.882,21,1,58,1,31,0,1,,.285,.509,.387,.395,.403,.224,89.2,11.7,42.3,10.7,34.9,20.1,38.9,6,26.4,
Gonzalez, Marwin,503556,2020,31,175,199,37,28,4,0,5,41,17,20.6,8.5,.211,.320,.286,.606,22,0,53,3,15,0,0,,.240,.401,.269,.314,.315,.162,89.2,12.6,31.9,5.1,41.3,23.9,29.7,5.1,25.5,
Altuve, Jose,514888,2020,30,192,210,42,28,9,0,5,39,17,18.6,8.1,.219,.344,.286,.629,18,2,48,1,32,2,0,,.229,.346,.278,.286,.295,.118,86.7,9.3,24.8,4.6,51,20.3,20.9,7.8,28.4,
Hernandez, Cesar,514917,2020,30,233,261,66,43,20,0,3,57,24,21.8,9.2,.283,.408,.352,.760,20,0,58,2,35,0,0,,.273,.396,.335,.330,.346,.123,89.1,5.6,37.3,4,50.8,13,33.9,2.3,28.5,
Segura, Jean,516416,2020,30,192,217,51,37,5,2,7,45,23,20.7,10.6,.266,.422,.346,.767,25,2,54,1,28,2,0,,.250,.391,.333,.318,.334,.141,87.7,11.2,31.8,6.1,49.3,16.2,24.3,10.1,28.3,
Marte, Starling,516782,2020,32,228,250,64,43,14,1,6,41,12,16.4,4.8,.281,.430,.340,.770,27,10,61,9,36,9,1,,.262,.414,.333,.322,.323,.153,87.1,6.5,30.3,6.4,54.8,18.6,23.9,2.7,28.5,
Freeman, Freddie,518692,2020,31,214,262,73,36,23,1,13,37,45,14.1,17.2,.341,.640,.462,1.102,53,2,60,3,51,2,0,,.341,.659,.456,.464,.462,.318,92.4,17.2,49.2,14.7,32.8,20.9,40.1,6.2,26.4,
Grandal, Yasmani,518735,2020,32,161,194,37,22,7,0,8,58,30,29.9,15.5,.230,.422,.351,.773,27,0,46,1,27,0,0,,.207,.403,.338,.327,.334,.196,90.3,15.6,38.1,7.6,36.2,25.7,31.4,6.7,23.5,
